cohort_month,total_customers,month_offset,active_customers,retention_pct
2022-10,45,9,1,2.22
2022-10,45,11,1,2.22
2022-10,45,12,3,6.67
2022-10,45,13,1,2.22
2022-10,45,14,3,6.67
2022-10,45,15,4,8.89
2022-10,45,16,1,2.22
2022-10,45,17,1,2.22
2022-10,45,18,5,11.11
2022-10,45,19,4,8.89
2022-10,45,20,3,6.67
2022-10,45,21,3,6.67
2022-10,45,22,6,13.33
2022-10,45,23,4,8.89
2022-10,45,24,4,8.89
2022-10,45,25,5,11.11
2022-10,45,26,4,8.89
2022-10,45,27,1,2.22
2022-10,45,28,2,4.44
2022-10,45,29,3,6.67
2022-10,45,30,5,11.11
2022-10,45,31,3,6.67
2022-10,45,32,2,4.44
2022-10,45,33,5,11.11
2022-10,45,35,1,2.22
2022-10,45,36,1,2.22
2022-10,45,37,3,6.67
2022-10,45,38,3,6.67
2022-10,45,39,3,6.67
2022-10,45,40,5,11.11
2022-10,45,41,4,8.89
2022-10,45,42,2,4.44
2022-10,45,44,3,6.67
2022-10,45,45,3,6.67
2022-10,45,46,4,8.89
2022-11,49,0,49,100.0
2022-11,49,1,1,2.04
2022-11,49,2,4,8.16
2022-11,49,3,3,6.12
2022-11,49,4,4,8.16
2022-11,49,5,3,6.12
2022-11,49,6,7,14.29
2022-11,49,7,3,6.12
2022-11,49,8,3,6.12
2022-11,49,9,2,4.08
2022-11,49,10,1,2.04
2022-11,49,11,3,6.12
2022-11,49,12,1,2.04
2022-11,49,13,3,6.12
2022-11,49,14,2,4.08
2022-11,49,15,5,10.2
2022-11,49,16,1,2.04
2022-11,49,17,1,2.04
2022-11,49,18,5,10.2
2022-11,49,19,4,8.16
2022-11,49,20,1,2.04
2022-11,49,21,2,4.08
2022-11,49,22,4,8.16
2022-11,49,23,5,10.2
2022-11,49,25,5,10.2
2022-11,49,26,2,4.08
2022-11,49,27,3,6.12
2022-11,49,28,5,10.2
2022-11,49,29,3,6.12
2022-11,49,30,3,6.12
2022-11,49,31,4,8.16
2022-11,49,32,3,6.12
2022-11,49,33,4,8.16
2022-11,49,34,4,8.16
2022-11,49,35,1,2.04
2022-11,49,36,2,4.08
2022-11,49,37,5,10.2
2022-11,49,38,5,10.2
2022-11,49,39,5,10.2
2022-11,49,40,3,6.12
2022-11,49,41,3,6.12
2022-11,49,42,1,2.04
2022-11,49,43,3,6.12
2022-11,49,44,2,4.08
2022-11,49,45,4,8.16
2022-12,33,0,33,100.0
2022-12,33,1,3,9.09
2022-12,33,2,2,6.06
2022-12,33,3,4,12.12
2022-12,33,4,3,9.09
2022-12,33,7,3,9.09
2022-12,33,8,1,3.03
2022-12,33,9,1,3.03
2022-12,33,10,2,6.06
2022-12,33,11,2,6.06
2022-12,33,12,2,6.06
2022-12,33,14,2,6.06
2022-12,33,15,3,9.09
2022-12,33,16,1,3.03
2022-12,33,17,1,3.03
2022-12,33,18,2,6.06
2022-12,33,19,1,3.03
2022-12,33,20,2,6.06
2022-12,33,22,1,3.03
2022-12,33,23,1,3.03
2022-12,33,24,3,9.09
2022-12,33,25,2,6.06
2022-12,33,27,2,6.06
2022-12,33,30,3,9.09
2022-12,33,31,2,6.06
2022-12,33,32,2,6.06
2022-12,33,33,2,6.06
2022-12,33,35,1,3.03
2022-12,33,36,1,3.03
2022-12,33,37,1,3.03
2022-12,33,39,3,9.09
2022-12,33,40,2,6.06
2022-12,33,41,1,3.03
2022-12,33,43,2,6.06
2022-12,33,44,1,3.03
2023-01,37,0,37,100.0
2023-01,37,1,6,16.22
2023-01,37,2,2,5.41
2023-01,37,3,1,2.7
2023-01,37,4,2,5.41
2023-01,37,5,2,5.41
2023-01,37,6,1,2.7
2023-01,37,7,1,2.7
2023-01,37,8,2,5.41
2023-01,37,10,1,2.7
2023-01,37,11,4,10.81
2023-01,37,12,2,5.41
2023-01,37,15,6,16.22
2023-01,37,17,1,2.7
2023-01,37,18,4,10.81
2023-01,37,19,2,5.41
2023-01,37,20,2,5.41
2023-01,37,21,3,8.11
2023-01,37,22,2,5.41
2023-01,37,23,1,2.7
2023-01,37,24,6,16.22
2023-01,37,25,2,5.41
2023-01,37,26,2,5.41
2023-01,37,28,4,10.81
2023-01,37,29,2,5.41
2023-01,37,30,3,8.11
2023-01,37,31,3,8.11
2023-01,37,32,1,2.7
2023-01,37,33,3,8.11
2023-01,37,34,1,2.7
2023-01,37,35,1,2.7
2023-01,37,37,1,2.7
2023-01,37,38,1,2.7
2023-01,37,39,1,2.7
2023-01,37,42,3,8.11
2023-01,37,43,2,5.41
2023-02,29,0,29,100.0
2023-02,29,2,1,3.45
2023-02,29,6,1,3.45
2023-02,29,8,3,10.34
2023-02,29,9,1,3.45
2023-02,29,10,1,3.45
2023-02,29,11,1,3.45
2023-02,29,12,1,3.45
2023-02,29,13,1,3.45
2023-02,29,14,1,3.45
2023-02,29,15,2,6.9
2023-02,29,16,3,10.34
2023-02,29,17,3,10.34
2023-02,29,18,1,3.45
2023-02,29,20,1,3.45
2023-02,29,21,3,10.34
2023-02,29,23,3,10.34
2023-02,29,24,3,10.34
2023-02,29,25,3,10.34
2023-02,29,26,3,10.34
2023-02,29,27,1,3.45
2023-02,29,28,4,13.79
2023-02,29,29,1,3.45
2023-02,29,30,1,3.45
2023-02,29,31,2,6.9
2023-02,29,33,4,13.79
2023-02,29,34,2,6.9
2023-02,29,35,1,3.45
2023-02,29,36,1,3.45
2023-02,29,37,2,6.9
2023-02,29,38,1,3.45
2023-02,29,40,1,3.45
2023-02,29,41,3,10.34
2023-03,43,0,43,100.0
2023-03,43,2,3,6.98
2023-03,43,3,4,9.3
2023-03,43,4,2,4.65
2023-03,43,5,4,9.3
2023-03,43,7,2,4.65
2023-03,43,8,2,4.65
2023-03,43,9,2,4.65
2023-03,43,10,2,4.65
2023-03,43,11,3,6.98
2023-03,43,12,3,6.98
2023-03,43,13,1,2.33
2023-03,43,14,1,2.33
2023-03,43,15,4,9.3
2023-03,43,16,3,6.98
2023-03,43,17,3,6.98
2023-03,43,18,4,9.3
2023-03,43,19,2,4.65
2023-03,43,21,3,6.98
2023-03,43,22,1,2.33
2023-03,43,23,4,9.3
2023-03,43,25,4,9.3
2023-03,43,26,3,6.98
2023-03,43,28,8,18.6
2023-03,43,29,1,2.33
2023-03,43,30,2,4.65
2023-03,43,31,3,6.98
2023-03,43,32,3,6.98
2023-03,43,33,1,2.33
2023-03,43,34,5,11.63
2023-03,43,35,2,4.65
2023-03,43,36,1,2.33
2023-03,43,37,3,6.98
2023-03,43,38,3,6.98
2023-03,43,39,2,4.65
2023-03,43,41,1,2.33
2023-04,23,0,23,100.0
2023-04,23,1,1,4.35
2023-04,23,2,3,13.04
2023-04,23,4,1,4.35
2023-04,23,5,1,4.35
2023-04,23,7,1,4.35
2023-04,23,8,1,4.35
2023-04,23,9,2,8.7
2023-04,23,10,3,13.04
2023-04,23,11,1,4.35
2023-04,23,12,1,4.35
2023-04,23,14,1,4.35
2023-04,23,15,1,4.35
2023-04,23,17,1,4.35
2023-04,23,18,2,8.7
2023-04,23,19,2,8.7
2023-04,23,20,2,8.7
2023-04,23,21,1,4.35
2023-04,23,22,1,4.35
2023-04,23,23,1,4.35
2023-04,23,24,1,4.35
2023-04,23,27,3,13.04
2023-04,23,28,1,4.35
2023-04,23,30,1,4.35
2023-04,23,31,2,8.7
2023-04,23,32,3,13.04
2023-04,23,33,1,4.35
2023-04,23,34,1,4.35
2023-04,23,35,1,4.35
2023-04,23,36,3,13.04
2023-04,23,37,2,8.7
2023-04,23,38,2,8.7
2023-04,23,39,1,4.35
2023-04,23,40,1,4.35
2023-05,28,0,28,100.0
2023-05,28,1,2,7.14
2023-05,28,2,2,7.14
2023-05,28,4,3,10.71
2023-05,28,5,2,7.14
2023-05,28,6,3,10.71
2023-05,28,7,3,10.71
2023-05,28,8,1,3.57
2023-05,28,9,2,7.14
2023-05,28,11,2,7.14
2023-05,28,12,3,10.71
2023-05,28,14,1,3.57
2023-05,28,15,5,17.86
2023-05,28,16,4,14.29
2023-05,28,17,1,3.57
2023-05,28,18,1,3.57
2023-05,28,19,3,10.71
2023-05,28,20,1,3.57
2023-05,28,22,1,3.57
2023-05,28,24,1,3.57
2023-05,28,25,1,3.57
2023-05,28,26,1,3.57
2023-05,28,27,1,3.57
2023-05,28,28,4,14.29
2023-05,28,30,4,14.29
2023-05,28,31,1,3.57
2023-05,28,32,2,7.14
2023-05,28,34,2,7.14
2023-05,28,35,1,3.57
2023-05,28,36,4,14.29
2023-05,28,38,2,7.14
2023-06,24,0,24,100.0
2023-06,24,1,1,4.17
2023-06,24,4,2,8.33
2023-06,24,5,2,8.33
2023-06,24,6,1,4.17
2023-06,24,7,1,4.17
2023-06,24,8,2,8.33
2023-06,24,9,1,4.17
2023-06,24,12,2,8.33
2023-06,24,14,4,16.67
2023-06,24,16,1,4.17
2023-06,24,17,3,12.5
2023-06,24,18,1,4.17
2023-06,24,19,1,4.17
2023-06,24,20,1,4.17
2023-06,24,21,1,4.17
2023-06,24,22,2,8.33
2023-06,24,23,2,8.33
2023-06,24,24,1,4.17
2023-06,24,25,2,8.33
2023-06,24,26,1,4.17
2023-06,24,29,3,12.5
2023-06,24,30,1,4.17
2023-06,24,32,3,12.5
2023-06,24,36,1,4.17
2023-06,24,38,2,8.33
2023-07,21,0,21,100.0
2023-07,21,2,1,4.76
2023-07,21,4,1,4.76
2023-07,21,5,3,14.29
2023-07,21,8,1,4.76
2023-07,21,9,1,4.76
2023-07,21,12,2,9.52
2023-07,21,13,2,9.52
2023-07,21,15,1,4.76
2023-07,21,16,3,14.29
2023-07,21,17,2,9.52
2023-07,21,18,2,9.52
2023-07,21,20,1,4.76
2023-07,21,21,2,9.52
2023-07,21,22,1,4.76
2023-07,21,23,2,9.52
2023-07,21,24,2,9.52
2023-07,21,25,1,4.76
2023-07,21,26,1,4.76
2023-07,21,27,3,14.29
2023-07,21,28,2,9.52
2023-07,21,29,2,9.52
2023-07,21,33,2,9.52
2023-07,21,34,2,9.52
2023-07,21,36,1,4.76
2023-08,24,0,24,100.0
2023-08,24,1,2,8.33
2023-08,24,2,1,4.17
2023-08,24,3,3,12.5
2023-08,24,4,2,8.33
2023-08,24,5,1,4.17
2023-08,24,6,1,4.17
2023-08,24,7,2,8.33
2023-08,24,8,2,8.33
2023-08,24,9,2,8.33
2023-08,24,10,1,4.17
2023-08,24,11,2,8.33
2023-08,24,13,1,4.17
2023-08,24,14,2,8.33
2023-08,24,15,2,8.33
2023-08,24,16,1,4.17
2023-08,24,17,3,12.5
2023-08,24,18,2,8.33
2023-08,24,19,3,12.5
2023-08,24,20,1,4.17
2023-08,24,22,3,12.5
2023-08,24,23,4,16.67
2023-08,24,24,2,8.33
2023-08,24,25,1,4.17
2023-08,24,27,1,4.17
2023-08,24,28,2,8.33
2023-08,24,29,2,8.33
2023-08,24,30,1,4.17
2023-08,24,31,1,4.17
2023-08,24,33,1,4.17
2023-08,24,34,2,8.33
2023-08,24,35,3,12.5
2023-08,24,36,2,8.33
2023-09,14,0,14,100.0
2023-09,14,1,2,14.29
2023-09,14,4,1,7.14
2023-09,14,5,2,14.29
2023-09,14,6,2,14.29
2023-09,14,8,1,7.14
2023-09,14,9,2,14.29
2023-09,14,10,1,7.14
2023-09,14,11,1,7.14
2023-09,14,12,2,14.29
2023-09,14,14,1,7.14
2023-09,14,17,1,7.14
2023-09,14,18,1,7.14
2023-09,14,19,2,14.29
2023-09,14,20,2,14.29
2023-09,14,22,3,21.43
2023-09,14,23,1,7.14
2023-09,14,25,1,7.14
2023-09,14,28,1,7.14
2023-09,14,29,4,28.57
2023-09,14,30,1,7.14
2023-09,14,33,2,14.29
2023-09,14,35,1,7.14
2023-10,16,0,16,100.0
2023-10,16,1,1,6.25
2023-10,16,6,1,6.25
2023-10,16,7,2,12.5
2023-10,16,9,1,6.25
2023-10,16,10,3,18.75
2023-10,16,11,1,6.25
2023-10,16,12,3,18.75
2023-10,16,13,1,6.25
2023-10,16,14,2,12.5
2023-10,16,15,2,12.5
2023-10,16,17,1,6.25
2023-10,16,20,1,6.25
2023-10,16,26,2,12.5
2023-10,16,27,1,6.25
2023-10,16,32,1,6.25
2023-10,16,34,2,12.5
2023-11,28,0,28,100.0
2023-11,28,2,2,7.14
2023-11,28,3,2,7.14
2023-11,28,4,2,7.14
2023-11,28,5,3,10.71
2023-11,28,6,2,7.14
2023-11,28,7,2,7.14
2023-11,28,8,3,10.71
2023-11,28,10,2,7.14
2023-11,28,11,1,3.57
2023-11,28,12,1,3.57
2023-11,28,13,1,3.57
2023-11,28,14,1,3.57
2023-11,28,15,3,10.71
2023-11,28,16,2,7.14
2023-11,28,17,1,3.57
2023-11,28,18,2,7.14
2023-11,28,19,5,17.86
2023-11,28,20,2,7.14
2023-11,28,21,2,7.14
2023-11,28,22,2,7.14
2023-11,28,23,2,7.14
2023-11,28,24,1,3.57
2023-11,28,25,2,7.14
2023-11,28,27,3,10.71
2023-11,28,28,1,3.57
2023-11,28,29,1,3.57
2023-11,28,30,1,3.57
2023-11,28,31,3,10.71
2023-11,28,32,1,3.57
2023-12,24,0,24,100.0
2023-12,24,1,1,4.17
2023-12,24,2,2,8.33
2023-12,24,4,1,4.17
2023-12,24,5,1,4.17
2023-12,24,8,2,8.33
2023-12,24,10,1,4.17
2023-12,24,11,3,12.5
2023-12,24,12,1,4.17
2023-12,24,13,4,16.67
2023-12,24,14,1,4.17
2023-12,24,15,2,8.33
2023-12,24,17,1,4.17
2023-12,24,18,2,8.33
2023-12,24,19,1,4.17
2023-12,24,21,1,4.17
2023-12,24,22,1,4.17
2023-12,24,23,2,8.33
2023-12,24,24,3,12.5
2023-12,24,25,2,8.33
2023-12,24,26,3,12.5
2023-12,24,27,2,8.33
2023-12,24,28,1,4.17
2023-12,24,29,3,12.5
2023-12,24,32,1,4.17
2024-01,18,0,18,100.0
2024-01,18,2,1,5.56
2024-01,18,4,1,5.56
2024-01,18,5,1,5.56
2024-01,18,6,2,11.11
2024-01,18,7,1,5.56
2024-01,18,8,2,11.11
2024-01,18,9,3,16.67
2024-01,18,11,2,11.11
2024-01,18,12,2,11.11
2024-01,18,13,2,11.11
2024-01,18,14,2,11.11
2024-01,18,17,1,5.56
2024-01,18,18,1,5.56
2024-01,18,21,2,11.11
2024-01,18,22,2,11.11
2024-01,18,24,3,16.67
2024-01,18,27,1,5.56
2024-01,18,28,2,11.11
2024-01,18,29,1,5.56
2024-01,18,30,2,11.11
2024-02,13,0,13,100.0
2024-02,13,1,1,7.69
2024-02,13,2,1,7.69
2024-02,13,3,1,7.69
2024-02,13,4,1,7.69
2024-02,13,5,1,7.69
2024-02,13,7,1,7.69
2024-02,13,8,1,7.69
2024-02,13,9,1,7.69
2024-02,13,11,2,15.38
2024-02,13,13,1,7.69
2024-02,13,14,1,7.69
2024-02,13,15,2,15.38
2024-02,13,16,1,7.69
2024-02,13,17,1,7.69
2024-02,13,18,1,7.69
2024-02,13,19,1,7.69
2024-02,13,22,1,7.69
2024-02,13,23,1,7.69
2024-02,13,24,1,7.69
2024-02,13,27,3,23.08
2024-02,13,28,2,15.38
2024-03,7,0,7,100.0
2024-03,7,8,3,42.86
2024-03,7,9,1,14.29
2024-03,7,14,2,28.57
2024-03,7,15,1,14.29
2024-03,7,16,1,14.29
2024-03,7,24,1,14.29
2024-03,7,25,1,14.29
2024-03,7,29,1,14.29
2024-04,10,0,10,100.0
2024-04,10,2,1,10.0
2024-04,10,3,1,10.0
2024-04,10,9,1,10.0
2024-04,10,11,1,10.0
2024-04,10,12,1,10.0
2024-04,10,13,1,10.0
2024-04,10,15,1,10.0
2024-04,10,20,1,10.0
2024-04,10,22,1,10.0
2024-04,10,24,1,10.0
2024-04,10,25,2,20.0
2024-04,10,27,1,10.0
2024-04,10,28,1,10.0
2024-05,13,0,13,100.0
2024-05,13,1,1,7.69
2024-05,13,2,1,7.69
2024-05,13,3,1,7.69
2024-05,13,5,3,23.08
2024-05,13,9,2,15.38
2024-05,13,10,2,15.38
2024-05,13,11,1,7.69
2024-05,13,12,1,7.69
2024-05,13,13,1,7.69
2024-05,13,15,1,7.69
2024-05,13,18,1,7.69
2024-05,13,25,1,7.69
2024-05,13,26,1,7.69
2024-05,13,27,3,23.08
2024-06,13,0,13,100.0
2024-06,13,3,1,7.69
2024-06,13,6,1,7.69
2024-06,13,7,2,15.38
2024-06,13,8,2,15.38
2024-06,13,9,1,7.69
2024-06,13,10,3,23.08
2024-06,13,11,1,7.69
2024-06,13,13,1,7.69
2024-06,13,16,2,15.38
2024-06,13,17,1,7.69
2024-06,13,18,2,15.38
2024-06,13,20,1,7.69
2024-06,13,21,1,7.69
2024-06,13,23,1,7.69
2024-06,13,24,1,7.69
2024-06,13,25,1,7.69
2024-07,4,0,4,100.0
2024-07,4,1,1,25.0
2024-07,4,5,1,25.0
2024-07,4,11,1,25.0
2024-07,4,21,1,25.0
2024-08,11,0,11,100.0
2024-08,11,3,2,18.18
2024-08,11,4,1,9.09
2024-08,11,5,1,9.09
2024-08,11,7,1,9.09
2024-08,11,8,1,9.09
2024-08,11,9,1,9.09
2024-08,11,10,1,9.09
2024-08,11,11,2,18.18
2024-08,11,14,1,9.09
2024-08,11,16,1,9.09
2024-08,11,17,1,9.09
2024-08,11,21,1,9.09
2024-08,11,22,1,9.09
2024-08,11,23,1,9.09
2024-09,14,0,14,100.0
2024-09,14,1,2,14.29
2024-09,14,2,2,14.29
2024-09,14,3,1,7.14
2024-09,14,7,2,14.29
2024-09,14,8,1,7.14
2024-09,14,10,1,7.14
2024-09,14,11,2,14.29
2024-09,14,12,1,7.14
2024-09,14,13,1,7.14
2024-09,14,14,1,7.14
2024-09,14,15,2,14.29
2024-09,14,17,1,7.14
2024-09,14,20,1,7.14
2024-09,14,21,1,7.14
2024-09,14,22,1,7.14
2024-09,14,23,1,7.14
2024-10,7,0,7,100.0
2024-10,7,3,1,14.29
2024-10,7,9,2,28.57
2024-10,7,12,1,14.29
2024-10,7,15,1,14.29
2024-10,7,20,1,14.29
2024-10,7,22,1,14.29
2024-11,11,0,11,100.0
2024-11,11,1,1,9.09
2024-11,11,3,1,9.09
2024-11,11,5,1,9.09
2024-11,11,6,1,9.09
2024-11,11,7,1,9.09
2024-11,11,9,1,9.09
2024-11,11,12,1,9.09
2024-11,11,13,1,9.09
2024-11,11,14,1,9.09
2024-11,11,17,1,9.09
2024-11,11,20,2,18.18
2024-11,11,21,1,9.09
2024-12,11,0,11,100.0
2024-12,11,3,2,18.18
2024-12,11,4,1,9.09
2024-12,11,5,1,9.09
2024-12,11,6,1,9.09
2024-12,11,7,1,9.09
2024-12,11,9,2,18.18
2024-12,11,10,1,9.09
2024-12,11,11,1,9.09
2024-12,11,14,1,9.09
2024-12,11,15,4,36.36
2024-12,11,16,1,9.09
2025-01,13,0,13,100.0
2025-01,13,1,2,15.38
2025-01,13,2,2,15.38
2025-01,13,3,2,15.38
2025-01,13,6,1,7.69
2025-01,13,8,1,7.69
2025-01,13,9,2,15.38
2025-01,13,10,3,23.08
2025-01,13,12,1,7.69
2025-01,13,14,1,7.69
2025-01,13,17,2,15.38
2025-01,13,18,1,7.69
2025-01,13,19,3,23.08
2025-02,5,0,5,100.0
2025-02,5,4,1,20.0
2025-02,5,8,1,20.0
2025-02,5,13,1,20.0
2025-02,5,17,1,20.0
2025-03,7,0,7,100.0
2025-03,7,4,1,14.29
2025-03,7,6,1,14.29
2025-03,7,8,1,14.29
2025-03,7,9,1,14.29
2025-03,7,12,1,14.29
2025-04,6,0,6,100.0
2025-04,6,3,1,16.67
2025-04,6,5,2,33.33
2025-04,6,8,1,16.67
2025-04,6,10,1,16.67
2025-04,6,11,2,33.33
2025-04,6,15,1,16.67
2025-05,6,0,6,100.0
2025-05,6,5,1,16.67
2025-05,6,6,1,16.67
2025-05,6,8,1,16.67
2025-05,6,9,1,16.67
2025-05,6,12,2,33.33
2025-06,6,0,6,100.0
2025-06,6,1,1,16.67
2025-06,6,2,1,16.67
2025-06,6,5,1,16.67
2025-06,6,6,2,33.33
2025-06,6,7,1,16.67
2025-06,6,10,1,16.67
2025-06,6,14,1,16.67
2025-07,7,0,7,100.0
2025-07,7,1,1,14.29
2025-07,7,11,1,14.29
2025-07,7,13,1,14.29
2025-08,3,0,3,100.0
2025-08,3,1,1,33.33
2025-08,3,4,1,33.33
2025-08,3,9,1,33.33
2025-09,7,0,7,100.0
2025-09,7,5,2,28.57
2025-09,7,7,1,14.29
2025-09,7,10,1,14.29
2025-10,4,0,4,100.0
2025-10,4,1,1,25.0
2025-10,4,2,1,25.0
2025-10,4,5,1,25.0
2025-11,8,0,8,100.0
2025-11,8,2,1,12.5
2025-11,8,3,1,12.5
2025-11,8,6,1,12.5
2025-11,8,9,2,25.0
2025-12,3,0,3,100.0
2026-01,2,0,2,100.0
2026-01,2,4,1,50.0
2026-01,2,5,1,50.0
2026-02,5,0,5,100.0
2026-02,5,2,1,20.0
2026-03,5,0,5,100.0
2026-03,5,2,1,20.0
2026-04,2,0,2,100.0
2026-04,2,3,1,50.0
2026-05,3,0,3,100.0
2026-05,3,2,1,33.33
2026-06,5,0,5,100.0
2026-06,5,1,1,20.0
2026-08,3,0,3,100.0
