cohort_month,activity_month,cohort_size,active_customers,retention_pct
2023-02,2024-08,12,2,16.67
2023-02,2024-09,12,1,8.33
2023-02,2024-10,12,1,8.33
2023-02,2025-01,12,2,16.67
2023-02,2025-03,12,1,8.33
2023-02,2025-04,12,1,8.33
2023-02,2025-05,12,1,8.33
2023-02,2025-07,12,3,25.0
2023-02,2025-10,12,1,8.33
2023-02,2025-11,12,2,16.67
2023-02,2026-02,12,1,8.33
2023-02,2026-03,12,1,8.33
2023-02,2026-04,12,3,25.0
2023-02,2026-06,12,3,25.0
2023-02,2026-07,12,1,8.33
2023-02,2026-08,12,2,16.67
2023-03,2022-11,21,1,4.76
2023-03,2022-12,21,3,14.29
2023-03,2023-01,21,2,9.52
2023-03,2023-02,21,2,9.52
2023-03,2023-03,21,1,4.76
2023-03,2023-04,21,1,4.76
2023-03,2023-07,21,2,9.52
2023-03,2023-08,21,2,9.52
2023-03,2023-10,21,2,9.52
2023-03,2023-11,21,1,4.76
2023-03,2023-12,21,3,14.29
2023-03,2024-02,21,1,4.76
2023-03,2024-04,21,1,4.76
2023-03,2024-07,21,1,4.76
2023-03,2024-08,21,1,4.76
2023-03,2024-09,21,2,9.52
2023-03,2024-10,21,1,4.76
2023-03,2024-11,21,3,14.29
2023-03,2024-12,21,1,4.76
2023-03,2025-02,21,2,9.52
2023-03,2025-03,21,2,9.52
2023-03,2025-04,21,1,4.76
2023-03,2025-05,21,1,4.76
2023-03,2025-06,21,3,14.29
2023-03,2025-07,21,1,4.76
2023-03,2025-08,21,1,4.76
2023-03,2025-09,21,1,4.76
2023-03,2025-12,21,1,4.76
2023-03,2026-02,21,3,14.29
2023-03,2026-04,21,1,4.76
2023-03,2026-05,21,3,14.29
2023-03,2026-07,21,3,14.29
2023-04,2023-03,15,1,6.67
2023-04,2023-05,15,1,6.67
2023-04,2023-09,15,2,13.33
2023-04,2023-10,15,1,6.67
2023-04,2023-12,15,1,6.67
2023-04,2024-02,15,1,6.67
2023-04,2024-03,15,2,13.33
2023-04,2024-05,15,1,6.67
2023-04,2024-07,15,1,6.67
2023-04,2024-09,15,1,6.67
2023-04,2024-10,15,2,13.33
2023-04,2024-11,15,2,13.33
2023-04,2024-12,15,2,13.33
2023-04,2025-01,15,2,13.33
2023-04,2025-03,15,2,13.33
2023-04,2025-05,15,1,6.67
2023-04,2025-06,15,2,13.33
2023-04,2025-07,15,1,6.67
2023-04,2025-08,15,2,13.33
2023-04,2025-10,15,1,6.67
2023-04,2026-01,15,1,6.67
2023-04,2026-02,15,1,6.67
2023-04,2026-03,15,2,13.33
2023-04,2026-04,15,1,6.67
2023-04,2026-06,15,2,13.33
2023-04,2026-07,15,1,6.67
2023-04,2026-08,15,2,13.33
2023-05,2022-10,9,1,11.11
2023-05,2022-11,9,2,22.22
2023-05,2022-12,9,1,11.11
2023-05,2023-03,9,1,11.11
2023-05,2023-05,9,1,11.11
2023-05,2023-06,9,1,11.11
2023-05,2023-11,9,1,11.11
2023-05,2024-04,9,1,11.11
2023-05,2024-06,9,1,11.11
2023-05,2024-08,9,1,11.11
2023-05,2024-10,9,1,11.11
2023-05,2024-11,9,1,11.11
2023-05,2024-12,9,3,33.33
2023-05,2025-03,9,2,22.22
2023-05,2025-04,9,1,11.11
2023-05,2025-05,9,1,11.11
2023-05,2025-06,9,1,11.11
2023-05,2025-07,9,1,11.11
2023-05,2025-08,9,1,11.11
2023-05,2025-09,9,1,11.11
2023-05,2025-11,9,1,11.11
2023-05,2025-12,9,1,11.11
2023-05,2026-01,9,1,11.11
2023-05,2026-03,9,1,11.11
2023-05,2026-05,9,1,11.11
2023-05,2026-06,9,1,11.11
2023-06,2022-09,13,1,7.69
2023-06,2022-11,13,1,7.69
2023-06,2022-12,13,1,7.69
2023-06,2023-02,13,1,7.69
2023-06,2023-03,13,1,7.69
2023-06,2023-07,13,2,15.38
2023-06,2023-08,13,1,7.69
2023-06,2023-09,13,1,7.69
2023-06,2023-11,13,1,7.69
2023-06,2024-02,13,1,7.69
2023-06,2024-04,13,1,7.69
2023-06,2024-05,13,2,15.38
2023-06,2024-06,13,2,15.38
2023-06,2024-08,13,1,7.69
2023-06,2024-09,13,1,7.69
2023-06,2024-10,13,1,7.69
2023-06,2024-11,13,1,7.69
2023-06,2025-02,13,1,7.69
2023-06,2025-04,13,2,15.38
2023-06,2025-05,13,2,15.38
2023-06,2025-06,13,1,7.69
2023-06,2025-07,13,1,7.69
2023-06,2025-10,13,2,15.38
2023-06,2025-12,13,1,7.69
2023-06,2026-02,13,1,7.69
2023-06,2026-03,13,1,7.69
2023-06,2026-06,13,1,7.69
2023-07,2022-08,23,1,4.35
2023-07,2022-09,23,2,8.7
2023-07,2022-10,23,1,4.35
2023-07,2022-11,23,3,13.04
2023-07,2022-12,23,1,4.35
2023-07,2023-02,23,3,13.04
2023-07,2023-03,23,2,8.7
2023-07,2023-05,23,1,4.35
2023-07,2023-06,23,2,8.7
2023-07,2023-08,23,1,4.35
2023-07,2023-11,23,4,17.39
2023-07,2023-12,23,1,4.35
2023-07,2024-01,23,2,8.7
2023-07,2024-02,23,1,4.35
2023-07,2024-03,23,2,8.7
2023-07,2024-06,23,1,4.35
2023-07,2024-09,23,3,13.04
2023-07,2024-11,23,1,4.35
2023-07,2024-12,23,1,4.35
2023-07,2025-01,23,2,8.7
2023-07,2025-02,23,1,4.35
2023-07,2025-03,23,2,8.7
2023-07,2025-04,23,1,4.35
2023-07,2025-05,23,1,4.35
2023-07,2025-06,23,2,8.7
2023-07,2025-07,23,4,17.39
2023-07,2025-09,23,3,13.04
2023-07,2025-10,23,1,4.35
2023-07,2025-11,23,1,4.35
2023-07,2025-12,23,3,13.04
2023-07,2026-01,23,4,17.39
2023-07,2026-02,23,1,4.35
2023-07,2026-06,23,1,4.35
2023-07,2026-07,23,2,8.7
2023-07,2026-08,23,1,4.35
2023-08,2022-09,18,1,5.56
2023-08,2022-10,18,2,11.11
2023-08,2022-11,18,3,16.67
2023-08,2023-03,18,1,5.56
2023-08,2023-04,18,2,11.11
2023-08,2023-05,18,1,5.56
2023-08,2023-06,18,1,5.56
2023-08,2023-07,18,1,5.56
2023-08,2023-09,18,1,5.56
2023-08,2023-10,18,1,5.56
2023-08,2023-12,18,1,5.56
2023-08,2024-01,18,1,5.56
2023-08,2024-02,18,1,5.56
2023-08,2024-03,18,1,5.56
2023-08,2024-04,18,1,5.56
2023-08,2024-05,18,3,16.67
2023-08,2024-08,18,1,5.56
2023-08,2024-10,18,3,16.67
2023-08,2024-11,18,2,11.11
2023-08,2024-12,18,1,5.56
2023-08,2025-01,18,1,5.56
2023-08,2025-03,18,1,5.56
2023-08,2025-06,18,1,5.56
2023-08,2025-07,18,1,5.56
2023-08,2025-08,18,2,11.11
2023-08,2025-10,18,2,11.11
2023-08,2025-11,18,1,5.56
2023-08,2025-12,18,2,11.11
2023-08,2026-01,18,6,33.33
2023-08,2026-02,18,2,11.11
2023-08,2026-03,18,3,16.67
2023-08,2026-04,18,1,5.56
2023-08,2026-07,18,1,5.56
2023-08,2026-08,18,4,22.22
2023-09,2022-08,17,1,5.88
2023-09,2022-09,17,2,11.76
2023-09,2023-01,17,1,5.88
2023-09,2023-02,17,1,5.88
2023-09,2023-03,17,2,11.76
2023-09,2023-04,17,1,5.88
2023-09,2023-06,17,1,5.88
2023-09,2023-07,17,1,5.88
2023-09,2023-09,17,1,5.88
2023-09,2023-10,17,1,5.88
2023-09,2023-11,17,1,5.88
2023-09,2024-01,17,1,5.88
2023-09,2024-02,17,2,11.76
2023-09,2024-03,17,2,11.76
2023-09,2024-06,17,2,11.76
2023-09,2024-07,17,1,5.88
2023-09,2024-09,17,1,5.88
2023-09,2024-11,17,1,5.88
2023-09,2025-02,17,1,5.88
2023-09,2025-03,17,2,11.76
2023-09,2025-04,17,1,5.88
2023-09,2025-05,17,1,5.88
2023-09,2025-07,17,2,11.76
2023-09,2025-10,17,3,17.65
2023-09,2025-12,17,1,5.88
2023-09,2026-01,17,3,17.65
2023-09,2026-02,17,2,11.76
2023-09,2026-03,17,1,5.88
2023-09,2026-04,17,1,5.88
2023-09,2026-08,17,1,5.88
2023-10,2022-08,17,1,5.88
2023-10,2022-12,17,1,5.88
2023-10,2023-01,17,2,11.76
2023-10,2023-02,17,1,5.88
2023-10,2023-03,17,1,5.88
2023-10,2023-04,17,1,5.88
2023-10,2023-08,17,1,5.88
2023-10,2023-09,17,2,11.76
2023-10,2023-11,17,2,11.76
2023-10,2023-12,17,1,5.88
2023-10,2024-01,17,1,5.88
2023-10,2024-02,17,1,5.88
2023-10,2024-03,17,1,5.88
2023-10,2024-04,17,1,5.88
2023-10,2024-07,17,1,5.88
2023-10,2024-12,17,1,5.88
2023-10,2025-01,17,3,17.65
2023-10,2025-02,17,1,5.88
2023-10,2025-03,17,2,11.76
2023-10,2025-06,17,3,17.65
2023-10,2025-07,17,1,5.88
2023-10,2025-08,17,1,5.88
2023-10,2025-10,17,1,5.88
2023-10,2025-11,17,5,29.41
2023-10,2025-12,17,3,17.65
2023-10,2026-01,17,2,11.76
2023-10,2026-03,17,1,5.88
2023-10,2026-04,17,1,5.88
2023-10,2026-05,17,2,11.76
2023-10,2026-06,17,2,11.76
2023-11,2022-09,16,1,6.25
2023-11,2022-10,16,3,18.75
2023-11,2022-11,16,1,6.25
2023-11,2022-12,16,1,6.25
2023-11,2023-02,16,3,18.75
2023-11,2023-03,16,5,31.25
2023-11,2023-04,16,2,12.5
2023-11,2023-06,16,2,12.5
2023-11,2023-07,16,1,6.25
2023-11,2023-10,16,1,6.25
2023-11,2023-11,16,2,12.5
2023-11,2024-04,16,2,12.5
2023-11,2024-05,16,2,12.5
2023-11,2024-06,16,3,18.75
2023-11,2024-07,16,1,6.25
2023-11,2024-08,16,1,6.25
2023-11,2024-09,16,1,6.25
2023-11,2024-11,16,2,12.5
2023-11,2024-12,16,1,6.25
2023-11,2025-05,16,1,6.25
2023-11,2025-06,16,1,6.25
2023-11,2025-07,16,4,25.0
2023-11,2025-11,16,2,12.5
2023-11,2025-12,16,1,6.25
2023-11,2026-03,16,2,12.5
2023-11,2026-07,16,1,6.25
2023-11,2026-08,16,1,6.25
2023-12,2022-11,16,2,12.5
2023-12,2022-12,16,1,6.25
2023-12,2023-01,16,1,6.25
2023-12,2023-03,16,4,25.0
2023-12,2023-05,16,2,12.5
2023-12,2023-06,16,1,6.25
2023-12,2023-07,16,1,6.25
2023-12,2023-08,16,1,6.25
2023-12,2023-09,16,1,6.25
2023-12,2023-11,16,2,12.5
2023-12,2023-12,16,1,6.25
2023-12,2024-01,16,1,6.25
2023-12,2024-03,16,1,6.25
2023-12,2024-05,16,1,6.25
2023-12,2024-06,16,1,6.25
2023-12,2024-07,16,3,18.75
2023-12,2024-08,16,2,12.5
2023-12,2024-09,16,2,12.5
2023-12,2024-10,16,2,12.5
2023-12,2024-11,16,1,6.25
2023-12,2025-01,16,1,6.25
2023-12,2025-02,16,3,18.75
2023-12,2025-04,16,2,12.5
2023-12,2025-06,16,1,6.25
2023-12,2025-07,16,1,6.25
2023-12,2025-09,16,2,12.5
2023-12,2025-11,16,1,6.25
2023-12,2026-02,16,2,12.5
2023-12,2026-04,16,1,6.25
2023-12,2026-05,16,1,6.25
2023-12,2026-06,16,1,6.25
2023-12,2026-07,16,1,6.25
2023-12,2026-08,16,1,6.25
2024-01,2022-09,18,1,5.56
2024-01,2022-10,18,2,11.11
2024-01,2023-01,18,2,11.11
2024-01,2023-02,18,1,5.56
2024-01,2023-03,18,3,16.67
2024-01,2023-05,18,1,5.56
2024-01,2023-06,18,3,16.67
2024-01,2023-10,18,4,22.22
2024-01,2023-12,18,2,11.11
2024-01,2024-01,18,1,5.56
2024-01,2024-02,18,1,5.56
2024-01,2024-04,18,1,5.56
2024-01,2024-05,18,1,5.56
2024-01,2024-06,18,1,5.56
2024-01,2024-07,18,1,5.56
2024-01,2024-08,18,1,5.56
2024-01,2024-09,18,2,11.11
2024-01,2024-10,18,1,5.56
2024-01,2024-11,18,2,11.11
2024-01,2024-12,18,2,11.11
2024-01,2025-01,18,1,5.56
2024-01,2025-03,18,2,11.11
2024-01,2025-04,18,3,16.67
2024-01,2025-05,18,1,5.56
2024-01,2025-06,18,1,5.56
2024-01,2025-08,18,1,5.56
2024-01,2025-11,18,1,5.56
2024-01,2026-02,18,2,11.11
2024-01,2026-03,18,1,5.56
2024-01,2026-06,18,1,5.56
2024-01,2026-08,18,1,5.56
2024-02,2022-08,11,2,18.18
2024-02,2022-12,11,1,9.09
2024-02,2023-01,11,1,9.09
2024-02,2023-03,11,1,9.09
2024-02,2023-05,11,2,18.18
2024-02,2023-06,11,1,9.09
2024-02,2023-10,11,3,27.27
2024-02,2023-11,11,1,9.09
2024-02,2024-02,11,2,18.18
2024-02,2024-05,11,2,18.18
2024-02,2024-09,11,2,18.18
2024-02,2024-11,11,1,9.09
2024-02,2025-01,11,1,9.09
2024-02,2025-02,11,1,9.09
2024-02,2025-03,11,1,9.09
2024-02,2025-06,11,2,18.18
2024-02,2025-09,11,1,9.09
2024-02,2025-10,11,1,9.09
2024-02,2026-02,11,1,9.09
2024-02,2026-04,11,1,9.09
2024-02,2026-05,11,1,9.09
2024-02,2026-06,11,1,9.09
2024-02,2026-08,11,1,9.09
2024-03,2022-11,17,3,17.65
2024-03,2023-01,17,1,5.88
2024-03,2023-02,17,2,11.76
2024-03,2023-03,17,1,5.88
2024-03,2023-04,17,1,5.88
2024-03,2023-05,17,2,11.76
2024-03,2023-11,17,2,11.76
2024-03,2023-12,17,1,5.88
2024-03,2024-02,17,1,5.88
2024-03,2024-04,17,1,5.88
2024-03,2024-05,17,2,11.76
2024-03,2024-06,17,2,11.76
2024-03,2024-07,17,3,17.65
2024-03,2024-10,17,2,11.76
2024-03,2024-12,17,1,5.88
2024-03,2025-01,17,1,5.88
2024-03,2025-02,17,2,11.76
2024-03,2025-03,17,4,23.53
2024-03,2025-04,17,1,5.88
2024-03,2025-05,17,1,5.88
2024-03,2025-07,17,1,5.88
2024-03,2025-08,17,3,17.65
2024-03,2025-09,17,1,5.88
2024-03,2025-10,17,1,5.88
2024-03,2025-11,17,1,5.88
2024-03,2026-02,17,1,5.88
2024-03,2026-04,17,3,17.65
2024-03,2026-05,17,1,5.88
2024-03,2026-07,17,2,11.76
2024-04,2022-10,15,1,6.67
2024-04,2022-11,15,1,6.67
2024-04,2022-12,15,1,6.67
2024-04,2023-01,15,1,6.67
2024-04,2023-02,15,1,6.67
2024-04,2023-03,15,1,6.67
2024-04,2023-06,15,1,6.67
2024-04,2023-07,15,1,6.67
2024-04,2023-10,15,2,13.33
2024-04,2023-11,15,1,6.67
2024-04,2024-02,15,1,6.67
2024-04,2024-04,15,3,20.0
2024-04,2024-07,15,1,6.67
2024-04,2024-08,15,2,13.33
2024-04,2025-02,15,1,6.67
2024-04,2025-03,15,1,6.67
2024-04,2025-04,15,1,6.67
2024-04,2025-06,15,2,13.33
2024-04,2025-07,15,2,13.33
2024-04,2025-08,15,1,6.67
2024-04,2025-11,15,1,6.67
2024-04,2026-03,15,1,6.67
2024-04,2026-04,15,3,20.0
2024-04,2026-05,15,2,13.33
2024-04,2026-07,15,1,6.67
2024-04,2026-08,15,1,6.67
2024-05,2022-08,12,1,8.33
2024-05,2022-09,12,1,8.33
2024-05,2022-10,12,1,8.33
2024-05,2022-11,12,3,25.0
2024-05,2022-12,12,2,16.67
2024-05,2023-01,12,2,16.67
2024-05,2023-02,12,1,8.33
2024-05,2023-05,12,1,8.33
2024-05,2023-10,12,1,8.33
2024-05,2023-11,12,1,8.33
2024-05,2023-12,12,2,16.67
2024-05,2024-01,12,1,8.33
2024-05,2024-03,12,1,8.33
2024-05,2024-05,12,1,8.33
2024-05,2024-06,12,1,8.33
2024-05,2024-07,12,1,8.33
2024-05,2024-08,12,1,8.33
2024-05,2024-09,12,3,25.0
2024-05,2024-11,12,1,8.33
2024-05,2025-01,12,1,8.33
2024-05,2025-02,12,1,8.33
2024-05,2025-03,12,1,8.33
2024-05,2025-04,12,2,16.67
2024-05,2025-06,12,1,8.33
2024-05,2025-07,12,3,25.0
2024-05,2025-08,12,1,8.33
2024-05,2025-09,12,3,25.0
2024-05,2025-10,12,1,8.33
2024-05,2026-01,12,1,8.33
2024-05,2026-06,12,2,16.67
2024-05,2026-07,12,2,16.67
2024-05,2026-08,12,1,8.33
2024-06,2022-09,22,1,4.55
2024-06,2022-11,22,2,9.09
2024-06,2022-12,22,1,4.55
2024-06,2023-01,22,1,4.55
2024-06,2023-02,22,1,4.55
2024-06,2023-06,22,1,4.55
2024-06,2023-07,22,2,9.09
2024-06,2023-09,22,1,4.55
2024-06,2023-10,22,1,4.55
2024-06,2023-12,22,4,18.18
2024-06,2024-01,22,2,9.09
2024-06,2024-02,22,1,4.55
2024-06,2024-03,22,1,4.55
2024-06,2024-06,22,1,4.55
2024-06,2024-07,22,1,4.55
2024-06,2024-08,22,1,4.55
2024-06,2024-09,22,1,4.55
2024-06,2024-10,22,1,4.55
2024-06,2024-12,22,3,13.64
2024-06,2025-01,22,3,13.64
2024-06,2025-02,22,2,9.09
2024-06,2025-05,22,3,13.64
2024-06,2025-07,22,1,4.55
2024-06,2025-09,22,1,4.55
2024-06,2025-11,22,4,18.18
2024-06,2025-12,22,1,4.55
2024-06,2026-02,22,2,9.09
2024-06,2026-03,22,2,9.09
2024-06,2026-04,22,2,9.09
2024-06,2026-05,22,3,13.64
2024-06,2026-06,22,1,4.55
2024-06,2026-08,22,1,4.55
2024-07,2022-08,15,1,6.67
2024-07,2022-09,15,1,6.67
2024-07,2022-10,15,1,6.67
2024-07,2022-11,15,1,6.67
2024-07,2022-12,15,1,6.67
2024-07,2023-01,15,1,6.67
2024-07,2023-02,15,1,6.67
2024-07,2023-03,15,2,13.33
2024-07,2023-05,15,2,13.33
2024-07,2023-08,15,1,6.67
2024-07,2023-10,15,1,6.67
2024-07,2023-12,15,2,13.33
2024-07,2024-02,15,1,6.67
2024-07,2024-05,15,1,6.67
2024-07,2024-07,15,3,20.0
2024-07,2024-08,15,4,26.67
2024-07,2024-09,15,1,6.67
2024-07,2024-10,15,2,13.33
2024-07,2024-11,15,4,26.67
2024-07,2024-12,15,1,6.67
2024-07,2025-05,15,3,20.0
2024-07,2025-06,15,2,13.33
2024-07,2025-08,15,2,13.33
2024-07,2025-09,15,1,6.67
2024-07,2025-12,15,2,13.33
2024-07,2026-01,15,1,6.67
2024-07,2026-02,15,1,6.67
2024-07,2026-03,15,1,6.67
2024-07,2026-05,15,1,6.67
2024-07,2026-06,15,2,13.33
2024-07,2026-07,15,2,13.33
2024-08,2022-10,20,2,10.0
2024-08,2023-01,20,2,10.0
2024-08,2023-02,20,1,5.0
2024-08,2023-03,20,3,15.0
2024-08,2023-04,20,1,5.0
2024-08,2023-05,20,5,25.0
2024-08,2023-06,20,1,5.0
2024-08,2023-09,20,1,5.0
2024-08,2023-11,20,1,5.0
2024-08,2024-01,20,2,10.0
2024-08,2024-02,20,2,10.0
2024-08,2024-04,20,2,10.0
2024-08,2024-05,20,4,20.0
2024-08,2024-06,20,1,5.0
2024-08,2024-08,20,3,15.0
2024-08,2024-09,20,2,10.0
2024-08,2024-10,20,2,10.0
2024-08,2024-11,20,3,15.0
2024-08,2024-12,20,1,5.0
2024-08,2025-01,20,2,10.0
2024-08,2025-04,20,2,10.0
2024-08,2025-05,20,2,10.0
2024-08,2025-06,20,2,10.0
2024-08,2025-07,20,1,5.0
2024-08,2025-08,20,1,5.0
2024-08,2025-09,20,1,5.0
2024-08,2025-10,20,1,5.0
2024-08,2025-12,20,2,10.0
2024-08,2026-01,20,1,5.0
2024-08,2026-02,20,2,10.0
2024-08,2026-04,20,2,10.0
2024-08,2026-05,20,2,10.0
2024-08,2026-06,20,1,5.0
2024-08,2026-07,20,1,5.0
2024-09,2022-09,20,1,5.0
2024-09,2022-10,20,3,15.0
2024-09,2022-11,20,1,5.0
2024-09,2022-12,20,1,5.0
2024-09,2023-01,20,2,10.0
2024-09,2023-02,20,3,15.0
2024-09,2023-03,20,1,5.0
2024-09,2023-04,20,1,5.0
2024-09,2023-05,20,1,5.0
2024-09,2023-08,20,1,5.0
2024-09,2023-11,20,2,10.0
2024-09,2024-03,20,1,5.0
2024-09,2024-04,20,1,5.0
2024-09,2024-05,20,2,10.0
2024-09,2024-07,20,2,10.0
2024-09,2024-09,20,3,15.0
2024-09,2024-10,20,1,5.0
2024-09,2024-12,20,3,15.0
2024-09,2025-02,20,2,10.0
2024-09,2025-03,20,1,5.0
2024-09,2025-05,20,2,10.0
2024-09,2025-08,20,1,5.0
2024-09,2025-09,20,2,10.0
2024-09,2025-10,20,1,5.0
2024-09,2025-11,20,1,5.0
2024-09,2025-12,20,2,10.0
2024-09,2026-01,20,1,5.0
2024-09,2026-02,20,1,5.0
2024-09,2026-04,20,2,10.0
2024-09,2026-05,20,2,10.0
2024-09,2026-06,20,1,5.0
2024-09,2026-07,20,2,10.0
2024-09,2026-08,20,2,10.0
2024-10,2022-11,10,1,10.0
2024-10,2023-01,10,1,10.0
2024-10,2023-02,10,1,10.0
