customer_id,first_order_value,last_order_value,first_order_date,last_order_date
71,105.86,105.86,2025-07-20,2025-07-20
72,8920.93,8920.93,2024-08-22,2024-08-22
73,5717.56,5717.56,2023-08-07,2023-08-07
74,20050.72,20050.72,2026-02-23,2026-02-23
75,3776.78,3776.78,2024-09-25,2024-09-25
76,10895.37,10895.37,2026-07-09,2026-07-09
77,6375.7,6375.7,2024-03-01,2024-03-01
79,6878.58,6878.58,2025-12-19,2025-12-19
80,14268.0,14268.0,2022-09-08,2022-09-08
81,12890.78,12890.78,2022-09-07,2022-09-07
82,14374.8,14374.8,2025-08-29,2025-08-29
83,10231.36,10231.36,2024-12-23,2024-12-23
84,15828.9,15828.9,2024-10-30,2024-10-30
85,3593.63,3593.63,2025-07-13,2025-07-13
86,2712.75,2712.75,2023-12-19,2023-12-19
87,24524.72,24524.72,2024-11-05,2024-11-05
88,23607.0,23607.0,2025-12-07,2025-12-07
89,4987.47,4987.47,2025-06-11,2025-06-11
90,12116.07,12116.07,2023-07-03,2023-07-03
91,3144.56,3144.56,2022-11-18,2022-11-18
92,19210.12,19210.12,2026-07-19,2026-07-19
93,9379.53,9379.53,2025-04-17,2025-04-17
94,17558.76,17558.76,2023-06-17,2023-06-17
96,9991.58,9991.58,2022-08-15,2022-08-15
97,10787.25,10787.25,2024-10-07,2024-10-07
98,17359.98,17359.98,2025-03-18,2025-03-18
99,21382.29,21382.29,2025-02-12,2025-02-12
100,4046.0,4046.0,2023-05-01,2023-05-01
101,17870.08,17870.08,2025-03-12,2025-03-12
102,3507.7,3507.7,2024-01-25,2024-01-25
103,13093.37,13093.37,2024-11-18,2024-11-18
104,7734.73,7734.73,2023-04-03,2023-04-03
105,11994.16,11994.16,2026-06-01,2026-06-01
106,8623.86,8623.86,2025-03-11,2025-03-11
107,16663.62,16663.62,2023-10-14,2023-10-14
108,1351.04,1351.04,2023-11-19,2023-11-19
109,5517.36,5517.36,2023-10-14,2023-10-14
110,2209.8,2209.8,2025-12-17,2025-12-17
111,3171.94,3171.94,2024-04-02,2024-04-02
112,3569.28,3569.28,2025-10-05,2025-10-05
113,2804.92,2804.92,2026-03-26,2026-03-26
114,3342.5,3342.5,2025-03-07,2025-03-07
115,14543.04,14543.04,2026-04-10,2026-04-10
116,12330.07,12330.07,2025-05-30,2025-05-30
117,4600.04,4600.04,2026-03-01,2026-03-01
118,5422.13,5422.13,2023-02-11,2023-02-11
119,2598.98,2598.98,2025-02-23,2025-02-23
120,13666.47,13666.47,2023-04-08,2023-04-08
121,6291.32,6291.32,2023-11-23,2023-11-23
122,2055.94,2055.94,2026-05-24,2026-05-24
123,17432.9,17432.9,2023-01-03,2023-01-03
124,9237.78,9237.78,2025-11-26,2025-11-26
125,15007.41,15007.41,2026-07-08,2026-07-08
126,13165.25,13165.25,2023-04-02,2023-04-02
127,6105.0,6105.0,2024-12-11,2024-12-11
128,17602.25,17602.25,2024-09-11,2024-09-11
129,11778.26,11778.26,2022-11-13,2022-11-13
130,2050.65,2050.65,2023-11-03,2023-11-03
131,17124.0,17124.0,2024-10-26,2024-10-26
132,17589.64,17589.64,2026-07-22,2026-07-22
133,22773.46,22773.46,2025-05-20,2025-05-20
134,10146.11,10146.11,2023-09-08,2023-09-08
135,25776.0,25776.0,2024-09-09,2024-09-09
136,9495.36,9495.36,2025-02-15,2025-02-15
137,10595.22,10595.22,2023-12-16,2023-12-16
138,17239.0,17239.0,2026-01-19,2026-01-19
139,6002.6,6002.6,2022-11-08,2022-11-08
143,16233.72,16233.72,2023-07-20,2023-07-20
144,11161.28,11161.28,2023-05-08,2023-05-08
145,7008.8,7008.8,2026-01-03,2026-01-03
146,1170.51,1170.51,2024-11-11,2024-11-11
147,7709.26,7709.26,2026-07-30,2026-07-30
148,562.64,562.64,2023-06-21,2023-06-21
149,11212.66,11212.66,2025-12-30,2025-12-30
150,587.97,587.97,2023-04-24,2023-04-24
151,6074.72,6074.72,2023-08-10,2023-08-10
152,155.89,155.89,2025-05-01,2025-05-01
153,6803.01,6803.01,2025-01-11,2025-01-11
154,261.8,261.8,2026-06-02,2026-06-02
155,12666.12,12666.12,2026-03-24,2026-03-24
156,7945.09,7945.09,2023-08-15,2023-08-15
157,3247.33,3247.33,2024-11-12,2024-11-12
158,2451.14,2451.14,2026-05-13,2026-05-13
159,530.16,530.16,2023-12-06,2023-12-06
160,23487.8,23487.8,2025-05-02,2025-05-02
161,3603.84,3603.84,2025-06-04,2025-06-04
162,12509.41,12509.41,2024-04-04,2024-04-04
163,12888.62,12888.62,2024-01-26,2024-01-26
165,9391.62,9391.62,2023-05-09,2023-05-09
166,14882.73,14882.73,2026-05-08,2026-05-08
167,2426.24,2426.24,2023-04-12,2023-04-12
168,29739.45,29739.45,2025-03-18,2025-03-18
170,18521.85,18521.85,2024-12-03,2024-12-03
171,8373.87,8373.87,2026-05-07,2026-05-07
172,9112.88,9112.88,2022-09-30,2022-09-30
173,17905.77,17905.77,2023-09-10,2023-09-10
174,12560.96,12560.96,2022-10-14,2022-10-14
175,8931.93,8931.93,2026-07-04,2026-07-04
176,12126.16,12126.16,2024-07-05,2024-07-05
177,14559.04,14559.04,2024-06-15,2024-06-15
178,6565.7,6565.7,2025-11-24,2025-11-24
179,18862.92,18862.92,2023-08-04,2023-08-04
180,7730.68,7730.68,2024-06-08,2024-06-08
182,4997.52,4997.52,2023-01-31,2023-01-31
183,15307.32,15307.32,2023-09-02,2023-09-02
184,5710.56,5710.56,2025-12-29,2025-12-29
186,20401.21,20401.21,2025-09-18,2025-09-18
187,14262.99,14262.99,2023-12-09,2023-12-09
188,3305.7,3305.7,2025-09-14,2025-09-14
189,15699.69,15699.69,2023-01-29,2023-01-29
190,7311.52,7311.52,2022-11-04,2022-11-04
191,8363.65,8363.65,2026-04-25,2026-04-25
192,11197.12,11197.12,2025-01-12,2025-01-12
193,12464.99,12464.99,2026-07-12,2026-07-12
194,664.2,664.2,2026-05-23,2026-05-23
195,5252.4,5252.4,2024-05-11,2024-05-11
196,9181.02,9181.02,2026-05-22,2026-05-22
197,19524.89,19524.89,2024-12-25,2024-12-25
198,10136.23,10136.23,2022-10-12,2022-10-12
199,2339.96,2339.96,2025-03-29,2025-03-29
200,1966.9,1966.9,2025-05-19,2025-05-19
201,2194.0,2194.0,2025-12-15,2025-12-15
202,2447.81,2447.81,2025-06-30,2025-06-30
204,15815.56,15815.56,2026-01-21,2026-01-21
206,7297.17,7297.17,2024-01-18,2024-01-18
208,3589.24,3589.24,2022-10-25,2022-10-25
209,6126.97,6126.97,2025-01-13,2025-01-13
210,9756.51,9756.51,2024-10-02,2024-10-02
211,17731.29,17731.29,2025-11-09,2025-11-09
212,12964.66,12964.66,2025-03-06,2025-03-06
213,1486.1,1486.1,2024-08-26,2024-08-26
214,25192.67,25192.67,2025-05-01,2025-05-01
215,4035.4,4035.4,2025-03-13,2025-03-13
216,3854.02,3854.02,2024-11-24,2024-11-24
217,19249.37,19249.37,2023-11-17,2023-11-17
218,38193.36,38193.36,2026-05-20,2026-05-20
219,9853.85,9853.85,2022-10-16,2022-10-16
220,6244.56,6244.56,2024-08-15,2024-08-15
221,6581.1,6581.1,2024-04-03,2024-04-03
222,10286.79,10286.79,2023-12-13,2023-12-13
223,6556.2,6556.2,2025-09-07,2025-09-07
224,1283.2,1283.2,2025-05-03,2025-05-03
225,6755.44,6755.44,2023-05-05,2023-05-05
226,9370.52,9370.52,2024-08-10,2024-08-10
227,6571.66,6571.66,2023-09-14,2023-09-14
228,2352.42,2352.42,2024-12-21,2024-12-21
229,13888.71,13888.71,2022-12-23,2022-12-23
230,16524.13,16524.13,2022-10-20,2022-10-20
231,47.85,47.85,2024-05-13,2024-05-13
232,4691.54,4691.54,2024-04-13,2024-04-13
233,8126.4,8126.4,2023-05-25,2023-05-25
235,13641.41,13641.41,2022-12-16,2022-12-16
236,9385.37,9385.37,2024-03-26,2024-03-26
237,15694.84,15694.84,2025-04-17,2025-04-17
238,4778.96,4778.96,2023-02-17,2023-02-17
239,13335.59,13335.59,2026-03-16,2026-03-16
241,18167.72,18167.72,2024-05-07,2024-05-07
242,16285.54,16285.54,2025-07-17,2025-07-17
244,9782.64,9782.64,2026-08-10,2026-08-10
245,17085.89,17085.89,2026-04-07,2026-04-07
246,8030.37,8030.37,2025-02-18,2025-02-18
247,6383.67,6383.67,2024-03-13,2024-03-13
248,11464.49,11464.49,2023-11-07,2023-11-07
249,26648.34,26648.34,2025-09-23,2025-09-23
250,9569.41,9569.41,2024-10-31,2024-10-31
251,10600.26,10600.26,2025-12-31,2025-12-31
252,6005.31,6005.31,2026-05-12,2026-05-12
253,30534.81,30534.81,2025-05-14,2025-05-14
254,9299.04,9299.04,2025-07-16,2025-07-16
255,3411.35,3411.35,2022-10-27,2022-10-27
256,90.55,90.55,2025-02-28,2025-02-28
257,1120.73,1120.73,2025-07-05,2025-07-05
258,12372.25,12372.25,2023-03-31,2023-03-31
259,4463.94,4463.94,2025-10-07,2025-10-07
260,14609.34,14609.34,2024-05-08,2024-05-08
261,4224.97,4224.97,2025-08-06,2025-08-06
262,345.26,345.26,2023-06-20,2023-06-20
263,17675.89,17675.89,2025-09-13,2025-09-13
264,11431.97,11431.97,2024-07-22,2024-07-22
266,13046.53,13046.53,2023-03-11,2023-03-11
268,8058.05,8058.05,2023-05-20,2023-05-20
269,14636.24,14636.24,2022-10-31,2022-10-31
270,6163.1,6163.1,2025-09-01,2025-09-01
271,20302.08,20302.08,2024-10-26,2024-10-26
272,10464.02,10464.02,2025-03-05,2025-03-05
273,12446.93,12446.93,2024-10-28,2024-10-28
274,8338.28,8338.28,2023-05-17,2023-05-17
275,13541.97,13541.97,2022-12-19,2022-12-19
276,15996.2,15996.2,2025-06-18,2025-06-18
277,14191.39,14191.39,2024-04-04,2024-04-04
278,10724.41,10724.41,2024-05-14,2024-05-14
279,8010.18,8010.18,2024-12-23,2024-12-23
281,11040.33,11040.33,2023-06-21,2023-06-21
283,20737.83,20737.83,2022-11-12,2022-11-12
284,1955.28,1955.28,2025-10-30,2025-10-30
286,9898.95,9898.95,2025-04-03,2025-04-03
287,12507.58,12507.58,2025-02-12,2025-02-12
288,20760.98,20760.98,2025-12-25,2025-12-25
289,20888.23,20888.23,2026-01-30,2026-01-30
290,515.55,515.55,2023-08-02,2023-08-02
291,1944.16,1944.16,2023-11-26,2023-11-26
292,6346.7,6346.7,2023-04-06,2023-04-06
293,5713.38,5713.38,2024-08-01,2024-08-01
294,3004.25,3004.25,2022-11-04,2022-11-04
295,6100.42,6100.42,2023-11-22,2023-11-22
296,9064.66,9064.66,2023-11-12,2023-11-12
297,20610.22,20610.22,2023-03-29,2023-03-29
298,19068.25,19068.25,2023-12-20,2023-12-20
299,4360.51,4360.51,2023-12-12,2023-12-12
300,14133.72,14133.72,2022-12-30,2022-12-30
301,17511.8,17511.8,2025-07-17,2025-07-17
302,16918.06,16918.06,2025-05-27,2025-05-27
303,9935.84,9935.84,2024-05-14,2024-05-14
305,2023.02,2023.02,2024-03-29,2024-03-29
306,18779.6,18779.6,2025-03-19,2025-03-19
307,18058.49,18058.49,2025-03-06,2025-03-06
308,4931.26,4931.26,2024-04-02,2024-04-02
309,13812.06,13812.06,2026-04-26,2026-04-26
310,9186.75,9186.75,2023-07-20,2023-07-20
311,9658.38,9658.38,2025-12-23,2025-12-23
312,10235.2,10235.2,2023-11-20,2023-11-20
313,10609.13,10609.13,2024-06-29,2024-06-29
314,20250.82,20250.82,2023-01-23,2023-01-23
315,32791.92,32791.92,2026-03-28,2026-03-28
316,11749.2,11749.2,2025-02-27,2025-02-27
317,16964.11,16964.11,2025-01-14,2025-01-14
318,10415.2,10415.2,2023-08-10,2023-08-10
319,10446.62,10446.62,2026-05-16,2026-05-16
321,2927.9,2927.9,2022-12-29,2022-12-29
322,17745.19,17745.19,2024-08-12,2024-08-12
323,15241.19,15241.19,2022-11-01,2022-11-01
324,7750.47,7750.47,2025-01-08,2025-01-08
325,3646.0,3646.0,2023-12-07,2023-12-07
326,4833.64,4833.64,2023-01-29,2023-01-29
327,9940.7,9940.7,2026-06-25,2026-06-25
328,16164.81,16164.81,2026-02-07,2026-02-07
329,15374.95,15374.95,2025-11-09,2025-11-09
330,15386.34,15386.34,2026-01-07,2026-01-07
331,7152.56,7152.56,2023-12-17,2023-12-17
332,17899.47,17899.47,2024-07-04,2024-07-04
334,10470.63,10470.63,2023-01-08,2023-01-08
335,11609.39,11609.39,2024-01-11,2024-01-11
336,11191.81,11191.81,2022-10-18,2022-10-18
337,8547.51,8547.51,2025-09-10,2025-09-10
338,2646.06,2646.06,2023-06-11,2023-06-11
339,2401.42,2401.42,2023-03-04,2023-03-04
340,14773.8,14773.8,2026-03-03,2026-03-03
341,4753.56,4753.56,2025-01-08,2025-01-08
342,14587.29,14587.29,2023-02-16,2023-02-16
343,2174.17,2174.17,2023-02-28,2023-02-28
344,21779.81,21779.81,2025-07-30,2025-07-30
345,19340.98,19340.98,2025-07-14,2025-07-14
346,4957.95,4957.95,2025-11-23,2025-11-23
347,18699.93,18699.93,2023-10-28,2023-10-28
348,15837.0,15837.0,2025-03-31,2025-03-31
349,5070.12,5070.12,2024-09-22,2024-09-22
350,20885.09,20885.09,2023-03-08,2023-03-08
351,13214.3,13214.3,2025-08-13,2025-08-13
352,22603.28,22603.28,2025-04-03,2025-04-03
353,7121.75,7121.75,2024-03-14,2024-03-14
354,13394.33,13394.33,2023-08-31,2023-08-31
355,11134.74,11134.74,2022-12-17,2022-12-17
356,14055.04,14055.04,2024-09-09,2024-09-09
357,10115.92,10115.92,2026-07-25,2026-07-25
358,6385.06,6385.06,2025-05-11,2025-05-11
359,3559.54,3559.54,2026-05-19,2026-05-19
360,16623.15,16623.15,2025-11-16,2025-11-16
361,2141.55,2141.55,2026-08-10,2026-08-10
362,20532.94,20532.94,2025-05-01,2025-05-01
363,9678.04,9678.04,2023-08-11,2023-08-11
364,20243.86,20243.86,2025-12-11,2025-12-11
365,4274.86,4274.86,2023-10-05,2023-10-05
366,19536.7,19536.7,2023-05-28,2023-05-28
367,16391.93,16391.93,2024-05-14,2024-05-14
368,21697.21,21697.21,2026-05-07,2026-05-07
369,19633.1,19633.1,2024-12-28,2024-12-28
370,1492.71,1492.71,2023-08-18,2023-08-18
371,1937.7,1937.7,2023-06-17,2023-06-17
372,3275.35,3275.35,2023-11-01,2023-11-01
373,13798.18,13798.18,2025-04-09,2025-04-09
374,22022.28,22022.28,2026-04-08,2026-04-08
376,16196.63,16196.63,2022-11-24,2022-11-24
377,397.52,397.52,2022-08-20,2022-08-20
378,13206.03,13206.03,2026-08-10,2026-08-10
379,7368.84,7368.84,2023-10-30,2023-10-30
380,2352.36,2352.36,2023-12-24,2023-12-24
381,21979.25,21979.25,2025-02-22,2025-02-22
382,10499.58,10499.58,2023-03-08,2023-03-08
383,31477.24,31477.24,2025-11-12,2025-11-12
384,27037.89,27037.89,2025-07-22,2025-07-22
386,18597.99,18597.99,2023-02-18,2023-02-18
387,4621.15,4621.15,2025-11-27,2025-11-27
388,2003.55,2003.55,2025-07-19,2025-07-19
390,245.82,245.82,2026-07-14,2026-07-14
391,9833.04,9833.04,2023-08-04,2023-08-04
392,11948.99,11948.99,2025-01-15,2025-01-15
393,6045.66,6045.66,2025-07-08,2025-07-08
394,4149.58,4149.58,2025-03-30,2025-03-30
395,21135.8,21135.8,2025-03-18,2025-03-18
397,2821.3,2821.3,2023-11-25,2023-11-25
398,4010.51,4010.51,2022-12-21,2022-12-21
399,8259.68,8259.68,2024-09-01,2024-09-01
400,8799.18,8799.18,2025-06-17,2025-06-17
401,18529.69,18529.69,2022-10-28,2022-10-28
402,9270.76,9270.76,2024-12-02,2024-12-02
403,625.14,625.14,2026-08-05,2026-08-05
405,1760.2,1760.2,2023-04-25,2023-04-25
406,27899.23,27899.23,2025-04-13,2025-04-13
407,1054.32,1054.32,2025-07-20,2025-07-20
408,4259.82,4259.82,2023-11-18,2023-11-18
409,8269.35,8269.35,2022-12-29,2022-12-29
410,27263.87,27263.87,2024-05-15,2024-05-15
411,4770.41,4770.41,2025-06-08,2025-06-08
412,20265.3,20265.3,2025-07-25,2025-07-25
413,1331.55,1331.55,2022-09-28,2022-09-28
414,5017.69,5017.69,2025-04-13,2025-04-13
415,29744.2,29744.2,2022-09-29,2022-09-29
416,9734.5,9734.5,2024-09-20,2024-09-20
417,16341.15,16341.15,2025-11-03,2025-11-03
418,2688.8,2688.8,2024-12-07,2024-12-07
419,20842.64,20842.64,2024-11-29,2024-11-29
420,3974.58,3974.58,2024-02-13,2024-02-13
421,7606.73,7606.73,2022-12-12,2022-12-12
422,2130.03,2130.03,2026-04-11,2026-04-11
423,8188.9,8188.9,2023-02-13,2023-02-13
424,831.12,831.12,2026-03-13,2026-03-13
425,1185.9,1185.9,2026-06-23,2026-06-23
426,3248.67,3248.67,2025-01-10,2025-01-10
427,15004.31,15004.31,2026-06-01,2026-06-01
428,19729.65,19729.65,2023-03-20,2023-03-20
429,17145.4,17145.4,2023-09-21,2023-09-21
431,8920.94,8920.94,2025-09-03,2025-09-03
432,3618.96,3618.96,2024-12-30,2024-12-30
434,1719.04,1719.04,2024-04-07,2024-04-07
435,12184.3,12184.3,2025-04-04,2025-04-04
436,1304.03,1304.03,2025-12-03,2025-12-03
437,13679.29,13679.29,2025-06-12,2025-06-12
438,13305.51,13305.51,2024-12-14,2024-12-14
439,9615.64,9615.64,2022-08-12,2022-08-12
440,15941.85,15941.85,2024-07-25,2024-07-25
441,21943.39,21943.39,2024-06-28,2024-06-28
442,8785.9,8785.9,2025-03-19,2025-03-19
443,10752.81,10752.81,2022-12-17,2022-12-17
444,15544.07,15544.07,2023-12-29,2023-12-29
445,8087.17,8087.17,2026-04-19,2026-04-19
449,186.88,186.88,2025-10-21,2025-10-21
450,2904.78,2904.78,2024-06-09,2024-06-09
452,10743.48,10743.48,2023-03-24,2023-03-24
453,12004.74,12004.74,2023-06-24,2023-06-24
454,14147.2,14147.2,2023-04-04,2023-04-04
455,3371.3,3371.3,2024-10-04,2024-10-04
456,24532.8,24532.8,2025-05-08,2025-05-08
457,11825.39,11825.39,2024-09-14,2024-09-14
458,26349.58,26349.58,2023-02-09,2023-02-09
459,6914.36,6914.36,2024-10-03,2024-10-03
460,8262.78,8262.78,2024-05-17,2024-05-17
461,9543.02,9543.02,2023-07-01,2023-07-01
462,25619.91,25619.91,2023-09-18,2023-09-18
463,4451.05,4451.05,2023-03-30,2023-03-30
464,21749.83,21749.83,2024-11-02,2024-11-02
465,14393.95,14393.95,2024-07-25,2024-07-25
466,16745.62,16745.62,2025-08-07,2025-08-07
467,5133.78,5133.78,2024-08-17,2024-08-17
468,14698.5,14698.5,2026-08-10,2026-08-10
469,11119.15,11119.15,2023-05-09,2023-05-09
470,4306.08,4306.08,2023-02-05,2023-02-05
471,4034.49,4034.49,2024-12-23,2024-12-23
472,2523.98,2523.98,2023-03-07,2023-03-07
473,2312.31,2312.31,2024-05-12,2024-05-12
474,510.7,510.7,2022-08-11,2022-08-11
475,3303.72,3303.72,2025-04-04,2025-04-04
476,24227.41,24227.41,2024-05-13,2024-05-13
478,780.91,780.91,2025-04-27,2025-04-27
479,8570.53,8570.53,2025-10-31,2025-10-31
480,4204.34,4204.34,2024-06-29,2024-06-29
481,4350.06,4350.06,2025-05-29,2025-05-29
482,23451.88,23451.88,2024-04-12,2024-04-12
483,11205.68,11205.68,2023-05-22,2023-05-22
484,8799.57,8799.57,2024-06-22,2024-06-22
485,19159.82,19159.82,2023-01-28,2023-01-28
486,8210.12,8210.12,2025-07-17,2025-07-17
487,3862.57,3862.57,2023-05-09,2023-05-09
488,36392.52,36392.52,2024-02-13,2024-02-13
489,1260.09,1260.09,2024-01-26,2024-01-26
490,6087.34,6087.34,2024-04-20,2024-04-20
491,13441.35,13441.35,2026-07-05,2026-07-05
492,10288.39,10288.39,2025-02-19,2025-02-19
493,12553.61,12553.61,2024-11-01,2024-11-01
494,12912.64,12912.64,2023-12-23,2023-12-23
495,13010.29,13010.29,2022-11-16,2022-11-16
496,9659.05,9659.05,2025-11-18,2025-11-18
497,27558.56,27558.56,2024-10-14,2024-10-14
498,7890.22,7890.22,2025-01-13,2025-01-13
499,2673.84,2673.84,2022-10-17,2022-10-17
500,14446.84,14446.84,2025-07-10,2025-07-10
501,21471.1,21471.1,2023-03-02,2023-03-02
502,14432.13,14432.13,2024-12-08,2024-12-08
503,12140.78,12140.78,2026-06-10,2026-06-10
504,5702.66,5702.66,2024-03-06,2024-03-06
505,6704.04,6704.04,2023-04-12,2023-04-12
506,18720.53,18720.53,2024-07-26,2024-07-26
507,14026.95,14026.95,2023-04-04,2023-04-04
508,1641.8,1641.8,2025-02-09,2025-02-09
509,10763.04,10763.04,2023-12-08,2023-12-08
510,5030.8,5030.8,2023-01-06,2023-01-06
511,3435.39,3435.39,2022-12-07,2022-12-07
512,23702.72,23702.72,2025-07-28,2025-07-28
513,18590.96,18590.96,2026-05-12,2026-05-12
514,12277.78,12277.78,2024-08-09,2024-08-09
515,10287.19,10287.19,2024-04-02,2024-04-02
516,4198.26,4198.26,2023-06-25,2023-06-25
518,2720.97,2720.97,2023-06-10,2023-06-10
519,25223.25,25223.25,2023-12-14,2023-12-14
520,10681.16,10681.16,2024-04-19,2024-04-19
521,6858.1,6858.1,2023-05-26,2023-05-26
523,4774.39,4774.39,2025-05-21,2025-05-21
524,14463.65,14463.65,2026-07-21,2026-07-21
525,1247.62,1247.62,2023-10-09,2023-10-09
526,2630.52,2630.52,2025-04-07,2025-04-07
527,17070.11,17070.11,2023-02-12,2023-02-12
528,22973.4,22973.4,2026-08-07,2026-08-07
529,36409.29,36409.29,2024-12-24,2024-12-24
530,21456.69,21456.69,2023-11-05,2023-11-05
531,18869.7,18869.7,2023-08-05,2023-08-05
532,7929.56,7929.56,2024-07-24,2024-07-24
533,1461.75,1461.75,2024-12-30,2024-12-30
535,28210.99,28210.99,2026-06-17,2026-06-17
536,9431.06,9431.06,2025-10-06,2025-10-06
537,31393.07,31393.07,2023-12-08,2023-12-08
538,7305.08,7305.08,2023-12-01,2023-12-01
539,5723.92,5723.92,2025-10-03,2025-10-03
540,18161.16,18161.16,2023-07-12,2023-07-12
541,25797.84,25797.84,2025-05-24,2025-05-24
542,17572.67,17572.67,2025-12-02,2025-12-02
543,14376.11,14376.11,2025-08-09,2025-08-09
544,4028.85,4028.85,2025-01-21,2025-01-21
545,2653.77,2653.77,2023-12-28,2023-12-28
546,1942.94,1942.94,2023-11-10,2023-11-10
547,13639.11,13639.11,2023-01-07,2023-01-07
548,6081.77,6081.77,2023-10-25,2023-10-25
549,33563.69,33563.69,2023-03-13,2023-03-13
550,3107.82,3107.82,2025-08-31,2025-08-31
551,7674.7,7674.7,2026-01-02,2026-01-02
552,18890.33,18890.33,2023-05-14,2023-05-14
554,4996.14,4996.14,2024-08-28,2024-08-28
555,8313.2,8313.2,2025-01-30,2025-01-30
556,4886.86,4886.86,2022-10-27,2022-10-27
557,14486.23,14486.23,2023-03-14,2023-03-14
558,503.28,503.28,2026-03-06,2026-03-06
559,8668.84,8668.84,2025-09-11,2025-09-11
560,8852.09,8852.09,2025-10-06,2025-10-06
561,378.57,378.57,2022-08-31,2022-08-31
562,9754.88,9754.88,2024-09-18,2024-09-18
563,2126.27,2126.27,2024-11-16,2024-11-16
566,3857.23,3857.23,2022-10-02,2022-10-02
567,17937.62,17937.62,2023-06-28,2023-06-28
568,15029.13,15029.13,2026-06-19,2026-06-19
569,10346.79,10346.79,2026-01-20,2026-01-20
570,5488.84,5488.84,2025-10-18,2025-10-18
571,10905.57,10905.57,2022-11-29,2022-11-29
572,8299.48,8299.48,2023-01-11,2023-01-11
573,6141.13,6141.13,2023-04-07,2023-04-07
574,12963.51,12963.51,2024-08-02,2024-08-02
575,1209.33,1209.33,2023-04-09,2023-04-09
576,16862.34,16862.34,2023-05-15,2023-05-15
577,5390.59,5390.59,2022-09-14,2022-09-14
578,21823.42,21823.42,2024-11-12,2024-11-12
579,15460.95,15460.95,2024-05-17,2024-05-17
580,7523.81,7523.81,2022-11-02,2022-11-02
581,12232.58,12232.58,2024-05-13,2024-05-13
582,41029.02,41029.02,2025-11-16,2025-11-16
583,12993.97,12993.97,2022-10-17,2022-10-17
