month_key,category,revenue,avg_category_revenue,delta_vs_average
2024-08,Uncategorized,1433.81,50169.35,-48735.54
2024-09,Toys,96879.65,54582.09,42297.56
2024-09,Electronics,89243.41,54582.09,34661.32
2024-09,Office,79477.08,54582.09,24894.99
2024-09,Grocery,61415.21,54582.09,6833.12
2024-09,Books,61078.57,54582.09,6496.48
2024-09,Automotive,50581.29,54582.09,-4000.8
2024-09,Beauty,50083.46,54582.09,-4498.63
2024-09,Sports,45672.59,54582.09,-8909.5
2024-09,Clothing,37146.62,54582.09,-17435.47
2024-09,Home & Kitchen,20899.73,54582.09,-33682.36
2024-09,Uncategorized,7925.34,54582.09,-46656.75
2024-10,Electronics,85583.57,49967.64,35615.93
2024-10,Books,80652.97,49967.64,30685.33
2024-10,Home & Kitchen,59249.49,49967.64,9281.85
2024-10,Sports,59036.71,49967.64,9069.07
2024-10,Toys,53913.25,49967.64,3945.61
2024-10,Office,51692.27,49967.64,1724.63
2024-10,Clothing,51449.05,49967.64,1481.41
2024-10,Beauty,41346.91,49967.64,-8620.73
2024-10,Automotive,33693.2,49967.64,-16274.44
2024-10,Grocery,29203.53,49967.64,-20764.11
2024-10,Uncategorized,3823.14,49967.64,-46144.5
2024-11,Office,94988.84,58202.48,36786.36
2024-11,Books,91781.25,58202.48,33578.77
2024-11,Clothing,89875.21,58202.48,31672.73
2024-11,Home & Kitchen,55106.31,58202.48,-3096.17
2024-11,Toys,54785.03,58202.48,-3417.45
2024-11,Electronics,54456.12,58202.48,-3746.36
2024-11,Automotive,53726.91,58202.48,-4475.57
2024-11,Sports,53068.3,58202.48,-5134.18
2024-11,Grocery,49141.13,58202.48,-9061.35
2024-11,Beauty,23898.29,58202.48,-34304.19
2024-11,Uncategorized,19399.87,58202.48,-38802.61
2024-12,Office,63086.82,45686.94,17399.88
2024-12,Beauty,53082.24,45686.94,7395.3
2024-12,Clothing,50832.51,45686.94,5145.57
2024-12,Electronics,50354.75,45686.94,4667.81
2024-12,Grocery,49269.64,45686.94,3582.7
2024-12,Sports,48956.83,45686.94,3269.89
2024-12,Automotive,47318.4,45686.94,1631.46
2024-12,Books,47009.6,45686.94,1322.66
2024-12,Toys,45593.75,45686.94,-93.19
2024-12,Home & Kitchen,42129.54,45686.94,-3557.4
2024-12,Uncategorized,4922.28,45686.94,-40764.66
2025-01,Electronics,83538.82,55354.99,28183.83
2025-01,Sports,72870.9,55354.99,17515.91
2025-01,Toys,67406.11,55354.99,12051.12
2025-01,Automotive,62878.96,55354.99,7523.97
2025-01,Books,59631.97,55354.99,4276.98
2025-01,Home & Kitchen,55244.08,55354.99,-110.91
2025-01,Beauty,40381.42,55354.99,-14973.57
2025-01,Grocery,38913.57,55354.99,-16441.42
2025-01,Clothing,36474.01,55354.99,-18880.98
2025-01,Office,36210.01,55354.99,-19144.98
2025-02,Books,75779.53,36893.93,38885.6
2025-02,Beauty,49881.38,36893.93,12987.45
2025-02,Electronics,47673.97,36893.93,10780.04
2025-02,Clothing,45360.37,36893.93,8466.44
2025-02,Toys,41765.77,36893.93,4871.84
2025-02,Automotive,32823.38,36893.93,-4070.55
2025-02,Sports,32518.87,36893.93,-4375.06
2025-02,Office,28071.16,36893.93,-8822.77
2025-02,Grocery,24994.14,36893.93,-11899.79
2025-02,Home & Kitchen,14023.42,36893.93,-22870.51
2025-02,Uncategorized,12941.21,36893.93,-23952.72
2025-03,Toys,94622.53,53065.38,41557.15
2025-03,Electronics,78701.77,53065.38,25636.39
2025-03,Sports,65139.04,53065.38,12073.66
2025-03,Books,61628.85,53065.38,8563.47
2025-03,Beauty,51659.58,53065.38,-1405.8
2025-03,Automotive,50517.34,53065.38,-2548.04
2025-03,Clothing,50295.67,53065.38,-2769.71
2025-03,Office,47546.33,53065.38,-5519.05
2025-03,Grocery,36085.91,53065.38,-16979.47
2025-03,Home & Kitchen,33372.09,53065.38,-19693.29
2025-03,Uncategorized,14150.08,53065.38,-38915.3
2025-04,Clothing,68253.73,46230.13,22023.6
2025-04,Sports,60920.8,46230.13,14690.67
2025-04,Toys,59604.48,46230.13,13374.35
2025-04,Beauty,52093.09,46230.13,5862.96
2025-04,Electronics,51396.87,46230.13,5166.74
2025-04,Grocery,47248.34,46230.13,1018.21
2025-04,Office,45484.49,46230.13,-745.64
2025-04,Automotive,42524.28,46230.13,-3705.85
2025-04,Books,42063.31,46230.13,-4166.82
2025-04,Home & Kitchen,28466.25,46230.13,-17763.88
2025-04,Uncategorized,10475.79,46230.13,-35754.34
2025-05,Toys,96449.36,56951.67,39497.69
2025-05,Electronics,83092.35,56951.67,26140.68
2025-05,Clothing,73638.14,56951.67,16686.47
2025-05,Sports,71477.08,56951.67,14525.41
2025-05,Automotive,65086.21,56951.67,8134.54
2025-05,Beauty,59074.93,56951.67,2123.26
2025-05,Office,56595.4,56951.67,-356.27
2025-05,Grocery,49729.78,56951.67,-7221.89
2025-05,Books,42928.28,56951.67,-14023.39
2025-05,Home & Kitchen,23733.61,56951.67,-33218.06
2025-05,Uncategorized,4663.2,56951.67,-52288.47
2025-06,Books,91483.26,58760.83,32722.43
2025-06,Office,84426.42,58760.83,25665.59
2025-06,Toys,75952.79,58760.83,17191.96
2025-06,Home & Kitchen,74604.71,58760.83,15843.88
2025-06,Grocery,67299.53,58760.83,8538.7
2025-06,Sports,66899.88,58760.83,8139.05
2025-06,Beauty,62644.87,58760.83,3884.04
2025-06,Electronics,52875.13,58760.83,-5885.7
2025-06,Clothing,41483.8,58760.83,-17277.03
2025-06,Automotive,25316.14,58760.83,-33444.69
2025-06,Uncategorized,3382.59,58760.83,-55378.24
2025-07,Office,114750.81,60640.33,54110.48
2025-07,Electronics,102727.25,60640.33,42086.92
2025-07,Clothing,70631.41,60640.33,9991.08
2025-07,Home & Kitchen,68016.44,60640.33,7376.11
2025-07,Toys,57354.48,60640.33,-3285.85
2025-07,Grocery,54078.8,60640.33,-6561.53
2025-07,Books,51632.95,60640.33,-9007.38
2025-07,Beauty,50690.15,60640.33,-9950.18
2025-07,Sports,41066.21,60640.33,-19574.12
2025-07,Automotive,36368.02,60640.33,-24272.31
2025-07,Uncategorized,19727.09,60640.33,-40913.24
2025-08,Electronics,70552.74,43800.04,26752.7
2025-08,Grocery,60200.95,43800.04,16400.91
2025-08,Toys,58376.09,43800.04,14576.05
2025-08,Automotive,50523.76,43800.04,6723.72
2025-08,Sports,43588.48,43800.04,-211.56
2025-08,Books,39150.59,43800.04,-4649.45
2025-08,Home & Kitchen,37370.66,43800.04,-6429.38
2025-08,Clothing,32949.9,43800.04,-10850.14
2025-08,Office,26076.46,43800.04,-17723.58
2025-08,Beauty,19210.8,43800.04,-24589.24
2025-09,Sports,71523.39,39108.09,32415.3
2025-09,Electronics,60797.27,39108.09,21689.18
2025-09,Home & Kitchen,56055.69,39108.09,16947.6
2025-09,Toys,46679.12,39108.09,7571.03
2025-09,Office,43986.55,39108.09,4878.46
2025-09,Automotive,37399.19,39108.09,-1708.9
2025-09,Beauty,32113.71,39108.09,-6994.38
2025-09,Grocery,29835.03,39108.09,-9273.06
2025-09,Books,24968.95,39108.09,-14139.14
2025-09,Clothing,16368.25,39108.09,-22739.84
2025-09,Uncategorized,10461.85,39108.09,-28646.24
2025-10,Toys,77520.43,34791.58,42728.85
2025-10,Grocery,46641.72,34791.58,11850.14
2025-10,Books,46152.69,34791.58,11361.11
2025-10,Home & Kitchen,44564.89,34791.58,9773.31
2025-10,Clothing,40977.91,34791.58,6186.33
2025-10,Beauty,37162.54,34791.58,2370.96
2025-10,Electronics,26274.72,34791.58,-8516.86
2025-10,Office,23923.8,34791.58,-10867.78
2025-10,Sports,23236.5,34791.58,-11555.08
2025-10,Automotive,13788.01,34791.58,-21003.57
2025-10,Uncategorized,2464.21,34791.58,-32327.37
2025-11,Toys,77765.5,49828.68,27936.82
2025-11,Sports,70095.76,49828.68,20267.08
2025-11,Books,68464.37,49828.68,18635.69
2025-11,Office,61407.49,49828.68,11578.81
2025-11,Clothing,50750.11,49828.68,921.43
2025-11,Grocery,48578.24,49828.68,-1250.44
2025-11,Automotive,47919.74,49828.68,-1908.94
2025-11,Beauty,46601.77,49828.68,-3226.91
2025-11,Electronics,37485.04,49828.68,-12343.64
2025-11,Home & Kitchen,27618.26,49828.68,-22210.42
2025-11,Uncategorized,11429.17,49828.68,-38399.51
2025-12,Toys,76286.04,44669.56,31616.48
2025-12,Books,64117.02,44669.56,19447.46
2025-12,Grocery,61871.74,44669.56,17202.18
2025-12,Automotive,55467.62,44669.56,10798.06
2025-12,Office,48177.79,44669.56,3508.23
2025-12,Clothing,46293.93,44669.56,1624.37
2025-12,Beauty,38643.29,44669.56,-6026.27
2025-12,Electronics,36291.82,44669.56,-8377.74
2025-12,Sports,29932.75,44669.56,-14736.81
2025-12,Home & Kitchen,24009.71,44669.56,-20659.85
2025-12,Uncategorized,10273.48,44669.56,-34396.08
2026-01,Toys,83895.78,42177.96,41717.82
2026-01,Grocery,58734.75,42177.96,16556.79
2026-01,Beauty,50540.55,42177.96,8362.59
2026-01,Automotive,49739.95,42177.96,7561.99
2026-01,Clothing,41714.18,42177.96,-463.78
2026-01,Home & Kitchen,39069.64,42177.96,-3108.32
2026-01,Books,35412.55,42177.96,-6765.41
2026-01,Sports,34987.93,42177.96,-7190.03
2026-01,Electronics,20986.37,42177.96,-21191.59
2026-01,Office,6697.85,42177.96,-35480.11
2026-02,Office,88866.61,46050.44,42816.17
2026-02,Books,72092.29,46050.44,26041.85
2026-02,Sports,57522.16,46050.44,11471.72
2026-02,Electronics,54694.0,46050.44,8643.56
2026-02,Toys,52753.07,46050.44,6702.63
2026-02,Beauty,50132.79,46050.44,4082.35
2026-02,Grocery,43302.22,46050.44,-2748.22
2026-02,Automotive,33492.79,46050.44,-12557.65
2026-02,Home & Kitchen,28990.86,46050.44,-17059.58
2026-02,Clothing,22507.12,46050.44,-23543.32
2026-02,Uncategorized,2200.88,46050.44,-43849.56
2026-03,Office,61467.14,41823.71,19643.43
2026-03,Clothing,61049.17,41823.71,19225.46
2026-03,Beauty,50113.13,41823.71,8289.42
2026-03,Automotive,49999.36,41823.71,8175.65
2026-03,Electronics,41341.36,41823.71,-482.35
2026-03,Books,39802.74,41823.71,-2020.97
2026-03,Toys,39500.09,41823.71,-2323.62
2026-03,Sports,33511.46,41823.71,-8312.25
2026-03,Home & Kitchen,22257.97,41823.71,-19565.74
2026-03,Grocery,19194.71,41823.71,-22629.0
2026-04,Sports,65210.02,37736.2,27473.82
2026-04,Office,65089.21,37736.2,27353.01
2026-04,Toys,55762.78,37736.2,18026.58
2026-04,Clothing,47013.49,37736.2,9277.29
2026-04,Electronics,41781.85,37736.2,4045.65
2026-04,Automotive,35960.86,37736.2,-1775.34
2026-04,Beauty,30109.22,37736.2,-7626.98
2026-04,Books,28298.46,37736.2,-9437.74
2026-04,Home & Kitchen,24571.01,37736.2,-13165.19
2026-04,Uncategorized,10908.06,37736.2,-26828.14
2026-04,Grocery,10393.26,37736.2,-27342.94
2026-05,Office,74943.16,47364.4,27578.76
2026-05,Clothing,61855.31,47364.4,14490.91
2026-05,Home & Kitchen,56335.06,47364.4,8970.66
2026-05,Toys,56225.1,47364.4,8860.7
2026-05,Sports,52407.37,47364.4,5042.97
2026-05,Electronics,44231.35,47364.4,-3133.05
2026-05,Beauty,43100.07,47364.4,-4264.33
2026-05,Grocery,31698.59,47364.4,-15665.81
2026-05,Books,27686.34,47364.4,-19678.06
2026-05,Automotive,25161.6,47364.4,-22202.8
2026-06,Books,76219.54,40802.85,35416.69
2026-06,Office,71749.69,40802.85,30946.84
2026-06,Electronics,55668.31,40802.85,14865.46
2026-06,Toys,48345.22,40802.85,7542.37
2026-06,Clothing,43685.73,40802.85,2882.88
2026-06,Beauty,39323.59,40802.85,-1479.26
2026-06,Grocery,32698.56,40802.85,-8104.29
2026-06,Sports,27818.99,40802.85,-12983.86
2026-06,Automotive,22569.2,40802.85,-18233.65
2026-06,Home & Kitchen,21670.94,40802.85,-19131.91
2026-06,Uncategorized,9081.61,40802.85,-31721.24
2026-07,Office,80086.35,48758.04,31328.31
2026-07,Clothing,70545.66,48758.04,21787.62
2026-07,Toys,64440.51,48758.04,15682.47
2026-07,Books,59799.37,48758.04,11041.33
2026-07,Grocery,54930.52,48758.04,6172.48
2026-07,Sports,53303.68,48758.04,4545.64
2026-07,Beauty,45930.52,48758.04,-2827.52
2026-07,Electronics,43254.92,48758.04,-5503.12
2026-07,Home & Kitchen,31640.4,48758.04,-17117.64
2026-07,Automotive,29412.98,48758.04,-19345.06
2026-07,Uncategorized,2993.52,48758.04,-45764.52
2026-08,Home & Kitchen,62329.09,34858.43,27470.66
2026-08,Sports,48073.95,34858.43,13215.52
2026-08,Books,47389.95,34858.43,12531.52
2026-08,Electronics,44180.75,34858.43,9322.32
2026-08,Beauty,43988.56,34858.43,9130.13
2026-08,Toys,30920.71,34858.43,-3937.72
2026-08,Clothing,30341.39,34858.43,-4517.04
2026-08,Office,26883.1,34858.43,-7975.33
2026-08,Grocery,26009.38,34858.43,-8849.05
2026-08,Automotive,17571.28,34858.43,-17287.15
2026-08,Uncategorized,5754.62,34858.43,-29103.81
