customer_id,order_id,order_date,order_value,row_num,rank,dense_rank,prev_order_value,next_order_value,running_customer_total
9,484,2023-04-10,3162.25,1,1,1,,472.21,3162.25
9,3114,2026-04-07,472.21,2,2,2,3162.25,,3634.46
10,1219,2025-05-07,13361.02,1,1,1,,6029.9,13361.02
10,3080,2025-10-20,6029.9,2,2,2,13361.02,,19390.92
11,1954,2023-11-30,8951.17,1,1,1,,,8951.17
12,840,2022-11-03,22997.8,1,1,1,,19108.06,22997.8
12,1438,2023-03-11,19108.06,2,2,2,22997.8,8420.92,42105.86
12,1333,2023-07-14,8420.92,3,3,3,19108.06,8018.26,50526.78
12,676,2024-08-14,8018.26,4,4,4,8420.92,,58545.04
13,2678,2022-09-20,4542.25,1,3,3,,13137.71,4542.25
13,2081,2025-05-30,13137.71,2,1,1,4542.25,5041.8,17679.96
13,2640,2026-07-29,5041.8,3,2,2,13137.71,898.2,22721.76
13,2408,2026-08-10,898.2,4,4,4,5041.8,,23619.96
14,1168,2023-12-06,4521.52,1,2,2,,18531.09,4521.52
14,3295,2026-05-09,18531.09,2,1,1,4521.52,,23052.61
15,3145,2023-09-23,1100.06,1,4,4,,2665.26,1100.06
15,86,2025-04-28,2665.26,2,3,3,1100.06,18306.42,3765.32
15,657,2026-02-10,18306.42,3,1,1,2665.26,8266.49,22071.74
15,3205,2026-06-10,8266.49,4,2,2,18306.42,,30338.23
16,187,2023-11-21,22788.6,1,1,1,,5233.5,22788.6
16,3102,2024-03-27,5233.5,2,3,3,22788.6,16833.32,28022.1
16,2430,2025-05-07,16833.32,3,2,2,5233.5,,44855.42
17,1033,2022-11-20,2337.36,1,2,2,,8832.97,2337.36
17,2595,2025-08-26,8832.97,2,1,1,2337.36,,11170.33
18,348,2022-12-27,12736.51,1,1,1,,542.54,12736.51
18,65,2025-08-03,542.54,2,2,2,12736.51,,13279.05
19,364,2024-02-04,1497.5,1,3,3,,16201.88,1497.5
19,2866,2025-05-30,16201.88,2,2,2,1497.5,16738.49,17699.38
19,2853,2025-12-09,16738.49,3,1,1,16201.88,,34437.87
20,3203,2025-01-08,3407.71,1,3,3,,9456.96,3407.71
20,3050,2025-11-15,9456.96,2,2,2,3407.71,25655.03,12864.67
20,807,2026-03-30,25655.03,3,1,1,9456.96,,38519.7
21,2232,2022-10-11,13678.62,1,1,1,,5588.29,13678.62
21,608,2023-03-06,5588.29,2,2,2,13678.62,,19266.91
22,861,2023-10-25,21408.47,1,1,1,,2367.85,21408.47
22,3126,2024-09-05,2367.85,2,2,2,21408.47,,23776.32
23,800,2022-08-15,149.19,1,7,7,,9486.46,149.19
23,744,2023-03-02,9486.46,2,2,2,149.19,9158.51,9635.65
23,1087,2023-06-01,9158.51,3,3,3,9486.46,1355.48,18794.16
23,1230,2023-09-14,1355.48,4,6,6,9158.51,5481.53,20149.64
23,2979,2023-11-04,5481.53,5,5,5,1355.48,9599.49,25631.17
23,2371,2024-08-09,9599.49,6,1,1,5481.53,7111.2,35230.66
23,28,2026-02-02,7111.2,7,4,4,9599.49,,42341.86
24,743,2024-07-16,20352.77,1,1,1,,2652.43,20352.77
24,1643,2026-04-22,2652.43,2,2,2,20352.77,,23005.2
25,3079,2025-06-01,11061.04,1,2,2,,20181.21,11061.04
25,20,2026-04-02,20181.21,2,1,1,11061.04,4217.32,31242.25
25,2250,2026-08-10,4217.32,3,3,3,20181.21,,35459.57
26,268,2025-10-14,7404.6,1,1,1,,,7404.6
27,257,2024-02-11,4407.76,1,4,4,,14789.78,4407.76
27,1747,2024-07-14,14789.78,2,1,1,4407.76,2596.76,19197.54
27,280,2024-11-01,2596.76,3,6,6,14789.78,13645.03,21794.3
27,1044,2025-01-12,13645.03,4,2,2,2596.76,8460.31,35439.33
27,3070,2025-06-30,8460.31,5,3,3,13645.03,3386.04,43899.64
27,726,2026-05-30,3386.04,6,5,5,8460.31,,47285.68
28,3423,2022-12-28,17117.03,1,1,1,,7565.99,17117.03
28,1691,2024-12-07,7565.99,2,2,2,17117.03,5139.79,24683.02
28,2843,2025-07-13,5139.79,3,3,3,7565.99,,29822.81
29,729,2023-03-08,23056.34,1,1,1,,8725.17,23056.34
29,302,2024-06-10,8725.17,2,2,2,23056.34,,31781.51
31,639,2023-05-12,15613.85,1,3,3,,14938.52,15613.85
31,603,2024-02-19,14938.52,2,4,4,15613.85,11452.46,30552.37
31,163,2025-09-10,11452.46,3,5,5,14938.52,16886.29,42004.83
31,139,2025-12-23,16886.29,4,2,2,11452.46,22776.35,58891.12
31,3465,2026-05-07,22776.35,5,1,1,16886.29,,81667.47
32,2315,2022-11-03,17238.22,1,4,4,,23854.66,17238.22
32,2185,2023-05-02,23854.66,2,1,1,17238.22,18273.16,41092.88
32,3193,2024-01-16,18273.16,3,3,3,23854.66,3471.36,59366.04
32,160,2025-04-19,3471.36,4,6,6,18273.16,20265.41,62837.4
32,32,2025-07-06,20265.41,5,2,2,3471.36,3755.88,83102.81
32,3397,2026-06-03,3755.88,6,5,5,20265.41,,86858.69
33,1181,2023-01-21,3687.16,1,3,3,,11783.97,3687.16
33,2525,2025-08-09,11783.97,2,1,1,3687.16,4311.68,15471.13
33,3082,2025-11-14,4311.68,3,2,2,11783.97,,19782.81
35,1829,2024-04-28,25171.76,1,1,1,,984.8,25171.76
35,3342,2025-04-20,984.8,2,3,3,25171.76,5610.28,26156.56
35,2428,2026-02-27,5610.28,3,2,2,984.8,,31766.84
36,902,2022-11-08,7838.31,1,3,3,,7174.51,7838.31
36,3233,2023-04-25,7174.51,2,4,4,7838.31,16660.67,15012.82
36,3460,2024-05-29,16660.67,3,2,2,7174.51,26952.82,31673.49
36,104,2026-02-26,26952.82,4,1,1,16660.67,,58626.31
39,1960,2023-05-02,11253.71,1,2,2,,21623.11,11253.71
39,275,2025-11-29,21623.11,2,1,1,11253.71,,32876.82
40,1203,2025-06-17,8635.37,1,1,1,,5605.84,8635.37
40,458,2025-08-16,5605.84,2,2,2,8635.37,994.62,14241.21
40,1028,2026-01-03,994.62,3,3,3,5605.84,,15235.83
41,429,2022-11-11,2071.74,1,4,4,,10326.47,2071.74
41,2113,2023-01-19,10326.47,2,3,3,2071.74,17045.29,12398.21
41,630,2023-10-03,17045.29,3,1,1,10326.47,11741.25,29443.5
41,3204,2024-10-17,11741.25,4,2,2,17045.29,,41184.75
42,2229,2022-08-17,11396.46,1,2,2,,16352.29,11396.46
42,3125,2024-04-05,16352.29,2,1,1,11396.46,6114.08,27748.75
42,167,2024-12-31,6114.08,3,3,3,16352.29,,33862.83
43,925,2024-02-10,15879.87,1,1,1,,3582.92,15879.87
43,121,2025-04-07,3582.92,2,3,3,15879.87,13032.36,19462.79
43,1854,2025-04-18,13032.36,3,2,2,3582.92,,32495.15
44,3373,2022-09-24,6287.59,1,1,1,,5920.87,6287.59
44,2683,2026-02-25,5920.87,2,2,2,6287.59,,12208.46
45,2123,2022-11-28,14502.52,1,1,1,,10793.37,14502.52
45,2399,2023-01-26,10793.37,2,2,2,14502.52,,25295.89
46,2610,2023-07-11,14050.71,1,2,2,,28903.49,14050.71
46,2347,2025-01-27,28903.49,2,1,1,14050.71,,42954.2
47,457,2024-10-07,5343.68,1,2,2,,3785.73,5343.68
47,1535,2025-07-24,3785.73,2,3,3,5343.68,23899.35,9129.41
47,2896,2025-10-12,23899.35,3,1,1,3785.73,,33028.76
48,2238,2024-06-01,17819.18,1,2,2,,5577.36,17819.18
48,2930,2026-03-24,5577.36,2,3,3,17819.18,17922.64,23396.54
48,81,2026-05-23,17922.64,3,1,1,5577.36,,41319.18
49,267,2023-07-28,2243.82,1,3,3,,6959.47,2243.82
49,2263,2024-08-24,6959.47,2,2,2,2243.82,10785.07,9203.29
49,1538,2025-10-17,10785.07,3,1,1,6959.47,,19988.36
50,390,2023-03-27,26102.29,1,2,2,,26159.5,26102.29
50,3424,2023-08-14,26159.5,2,1,1,26102.29,16389.62,52261.79
50,324,2025-11-05,16389.62,3,3,3,26159.5,3993.78,68651.41
50,1564,2026-01-01,3993.78,4,4,4,16389.62,,72645.19
51,3156,2022-09-22,8453.56,1,2,2,,18333.02,8453.56
51,2483,2023-08-14,18333.02,2,1,1,8453.56,7390.43,26786.58
51,2045,2024-05-11,7390.43,3,3,3,18333.02,3532.05,34177.01
51,3386,2025-12-07,3532.05,4,4,4,7390.43,,37709.06
52,416,2023-03-17,4378.4,1,1,1,,1896.8,4378.4
52,2915,2023-07-13,1896.8,2,3,3,4378.4,747.99,6275.2
52,1475,2024-03-02,747.99,3,4,4,1896.8,2293.16,7023.19
52,502,2026-01-26,2293.16,4,2,2,747.99,,9316.35
53,959,2024-01-10,91.8,1,2,2,,7635.21,91.8
53,2806,2024-12-13,7635.21,2,1,1,91.8,,7727.01
54,3218,2025-01-15,12810.99,1,2,2,,13583.14,12810.99
54,1286,2026-01-25,13583.14,2,1,1,12810.99,,26394.13
55,2164,2024-04-02,13725.7,1,2,2,,12715.09,13725.7
55,685,2024-04-15,12715.09,2,3,3,13725.7,14948.8,26440.79
55,3302,2025-01-22,14948.8,3,1,1,12715.09,,41389.59
56,2500,2023-03-27,11621.92,1,1,1,,3753.27,11621.92
56,1742,2024-08-04,3753.27,2,3,3,11621.92,5303.2,15375.19
56,1324,2025-11-20,5303.2,3,2,2,3753.27,,20678.39
57,2839,2023-02-25,4513.4,1,4,4,,20415.54,4513.4
57,776,2024-01-12,20415.54,2,1,1,4513.4,838.18,24928.94
57,1460,2024-05-30,838.18,3,7,7,20415.54,10834.7,25767.12
57,1083,2024-08-28,10834.7,4,2,2,838.18,2642.92,36601.82
57,465,2024-11-12,2642.92,5,6,6,10834.7,3260.17,39244.74
57,159,2025-11-09,3260.17,6,5,5,2642.92,6465.99,42504.91
57,1748,2026-07-13,6465.99,7,3,3,3260.17,,48970.9
58,1983,2025-07-07,5358.36,1,1,1,,,5358.36
59,2393,2022-12-12,2221.56,1,2,2,,10219.55,2221.56
59,1730,2024-03-16,10219.55,2,1,1,2221.56,,12441.11
60,2438,2023-12-29,3949.8,1,3,3,,16446.1,3949.8
60,1317,2024-05-01,16446.1,2,1,1,3949.8,6193.06,20395.9
60,536,2025-01-28,6193.06,3,2,2,16446.1,,26588.96
61,394,2023-10-30,5141.02,1,2,2,,8889.04,5141.02
61,3299,2024-10-19,8889.04,2,1,1,5141.02,,14030.06
62,85,2026-03-06,448.64,1,1,1,,,448.64
63,2589,2022-11-05,11541.49,1,1,1,,7272.67,11541.49
63,719,2025-09-05,7272.67,2,2,2,11541.49,3145.15,18814.16
63,102,2025-09-23,3145.15,3,3,3,7272.67,,21959.31
64,1641,2023-03-23,17901.47,1,1,1,,8131.13,17901.47
64,2903,2024-09-25,8131.13,2,2,2,17901.47,,26032.6
65,1982,2023-02-13,4623.84,1,2,2,,27578.24,4623.84
65,1367,2024-06-15,27578.24,2,1,1,4623.84,3903.46,32202.08
65,758,2025-08-11,3903.46,3,3,3,27578.24,,36105.54
66,3055,2023-08-03,17258.35,1,3,3,,607.68,17258.35
66,3191,2023-11-26,607.68,2,5,5,17258.35,18430.03,17866.03
66,1103,2024-10-19,18430.03,3,2,2,607.68,10416.46,36296.06
66,1205,2024-11-15,10416.46,4,4,4,18430.03,21244.8,46712.52
66,1598,2025-02-20,21244.8,5,1,1,10416.46,,67957.32
67,1785,2024-06-09,6549.46,1,2,2,,3849.09,6549.46
67,2030,2025-02-17,3849.09,2,3,3,6549.46,11014.78,10398.55
67,276,2025-04-18,11014.78,3,1,1,3849.09,3823.01,21413.33
67,991,2026-02-25,3823.01,4,4,4,11014.78,,25236.34
68,1952,2022-10-26,16444.64,1,1,1,,8689.9,16444.64
68,1479,2024-08-29,8689.9,2,2,2,16444.64,2654.33,25134.54
68,928,2025-03-21,2654.33,3,3,3,8689.9,,27788.87
69,837,2022-10-24,9364.82,1,2,2,,6080.44,9364.82
69,1665,2023-10-07,6080.44,2,6,6,9364.82,9284.85,15445.26
69,792,2024-07-03,9284.85,3,3,3,6080.44,6975.68,24730.11
69,5,2024-07-08,6975.68,4,5,5,9284.85,7222.85,31705.79
69,2193,2025-04-27,7222.85,5,4,4,6975.68,15778.96,38928.64
69,747,2025-07-19,15778.96,6,1,1,7222.85,,54707.6
70,2140,2024-03-18,12072.74,1,2,2,,22777.17,12072.74
70,3086,2025-06-03,22777.17,2,1,1,12072.74,,34849.91
71,2037,2025-07-20,105.86,1,1,1,,,105.86
72,3380,2023-05-10,19203.53,1,1,1,,3490.83,19203.53
72,2760,2023-12-24,3490.83,2,3,3,19203.53,8920.93,22694.36
72,1248,2024-08-22,8920.93,3,2,2,3490.83,,31615.29
73,2227,2023-03-29,15007.04,1,1,1,,5717.56,15007.04
73,375,2023-08-07,5717.56,2,2,2,15007.04,,20724.6
74,1916,2022-10-15,16200.84,1,3,3,,10223.68,16200.84
74,735,2023-05-14,10223.68,2,5,5,16200.84,15147.04,26424.52
74,1285,2023-06-29,15147.04,3,4,4,10223.68,26589.46,41571.56
74,2497,2025-06-08,26589.46,4,1,1,15147.04,6252.09,68161.02
74,994,2025-06-19,6252.09,5,6,6,26589.46,20050.72,74413.11
74,392,2026-02-23,20050.72,6,2,2,6252.09,,94463.83
75,3260,2023-01-04,8068.37,1,2,2,,20123.14,8068.37
75,2653,2024-07-27,20123.14,2,1,1,8068.37,3776.78,28191.51
75,720,2024-09-25,3776.78,3,3,3,20123.14,,31968.29
76,2416,2024-05-23,6742.7,1,3,3,,10895.37,6742.7
76,853,2026-07-09,10895.37,2,2,2,6742.7,10945.6,17638.07
76,2788,2026-07-10,10945.6,3,1,1,10895.37,,28583.67
77,1853,2022-11-03,15788.9,1,1,1,,6375.7,15788.9
77,69,2024-03-01,6375.7,2,4,4,15788.9,2886.88,22164.6
77,1780,2024-09-12,2886.88,3,5,5,6375.7,13816.47,25051.48
77,710,2025-07-16,13816.47,4,3,3,2886.88,15111.22,38867.95
77,3433,2025-09-28,15111.22,5,2,2,13816.47,,53979.17
79,2427,2023-08-05,3402.9,1,2,2,,6878.58,3402.9
79,971,2025-12-19,6878.58,2,1,1,3402.9,,10281.48
80,18,2022-09-08,14268.0,1,1,1,,,14268.0
81,485,2022-09-07,12890.78,1,1,1,,231.38,12890.78
81,2572,2023-06-10,231.38,2,5,5,12890.78,8855.77,13122.16
81,1990,2023-07-07,8855.77,3,3,3,231.38,3224.64,21977.93
81,1525,2025-01-17,3224.64,4,4,4,8855.77,10865.42,25202.57
81,497,2025-04-08,10865.42,5,2,2,3224.64,,36067.99
82,72,2025-08-29,14374.8,1,1,1,,241.27,14374.8
82,868,2025-12-15,241.27,2,2,2,14374.8,,14616.07
83,2150,2023-07-18,1363.63,1,2,2,,10231.36,1363.63
83,688,2024-12-23,10231.36,2,1,1,1363.63,,11594.99
84,409,2024-10-30,15828.9,1,1,1,,5405.1,15828.9
84,601,2025-07-12,5405.1,2,3,3,15828.9,10095.68,21234.0
84,1011,2026-01-25,10095.68,3,2,2,5405.1,,31329.68
85,2061,2023-11-20,10885.52,1,3,3,,11017.8,10885.52
85,2582,2024-04-13,11017.8,2,2,2,10885.52,22779.3,21903.32
85,662,2025-03-16,22779.3,3,1,1,11017.8,3593.63,44682.62
85,645,2025-07-13,3593.63,4,4,4,22779.3,,48276.25
86,282,2023-12-19,2712.75,1,5,5,,8282.93,2712.75
86,3416,2025-06-06,8282.93,2,4,4,2712.75,24168.35,10995.68
86,385,2025-10-01,24168.35,3,1,1,8282.93,18324.23,35164.03
86,987,2026-02-22,18324.23,4,2,2,24168.35,14137.01,53488.26
86,2149,2026-05-25,14137.01,5,3,3,18324.23,,67625.27
87,897,2024-11-05,24524.72,1,1,1,,,24524.72
88,2080,2025-04-09,16783.11,1,2,2,,8932.72,16783.11
88,2126,2025-09-03,8932.72,2,3,3,16783.11,23607.0,25715.83
88,1202,2025-12-07,23607.0,3,1,1,8932.72,,49322.83
89,847,2025-06-11,4987.47,1,2,2,,12542.56,4987.47
89,1193,2025-07-31,12542.56,2,1,1,4987.47,,17530.03
90,2231,2022-10-17,10183.28,1,2,2,,12116.07,10183.28
90,1612,2023-07-03,12116.07,2,1,1,10183.28,,22299.35
91,890,2022-11-18,3144.56,1,3,3,,17318.64,3144.56
91,1153,2024-12-26,17318.64,2,1,1,3144.56,6172.73,20463.2
91,2827,2025-02-23,6172.73,3,2,2,17318.64,,26635.93
92,1147,2023-02-08,22139.89,1,2,2,,28041.01,22139.89
92,1922,2024-07-22,28041.01,2,1,1,22139.89,19210.12,50180.9
92,472,2026-07-19,19210.12,3,3,3,28041.01,,69391.02
93,3192,2023-02-03,9142.34,1,3,3,,9401.51,9142.34
93,1323,2025-02-21,9401.51,2,1,1,9142.34,9379.53,18543.85
93,933,2025-04-17,9379.53,3,2,2,9401.51,,27923.38
94,1910,2022-10-06,4469.79,1,2,2,,17558.76,4469.79
94,1140,2023-06-17,17558.76,2,1,1,4469.79,,22028.55
96,1821,2022-08-15,9991.58,1,3,3,,5086.65,9991.58
96,3208,2022-09-10,5086.65,2,4,4,9991.58,23249.98,15078.23
96,1997,2023-02-13,23249.98,3,1,1,5086.65,13670.81,38328.21
96,2548,2025-06-28,13670.81,4,2,2,23249.98,,51999.02
97,1258,2024-10-07,10787.25,1,1,1,,,10787.25
98,2531,2025-01-17,5385.54,1,3,3,,17359.98,5385.54
98,2017,2025-03-18,17359.98,2,1,1,5385.54,14761.65,22745.52
98,3056,2025-04-12,14761.65,3,2,2,17359.98,,37507.17
99,3364,2024-06-17,2045.06,1,4,4,,21382.29,2045.06
99,66,2025-02-12,21382.29,2,1,1,2045.06,3249.32,23427.35
99,2014,2025-12-20,3249.32,3,2,2,21382.29,2372.68,26676.67
99,2694,2026-06-18,2372.68,4,3,3,3249.32,,29049.35
100,3005,2023-05-01,4046.0,1,1,1,,,4046.0
101,2485,2022-10-12,9883.34,1,3,3,,17510.39,9883.34
101,3016,2024-02-26,17510.39,2,2,2,9883.34,17870.08,27393.73
101,165,2025-03-12,17870.08,3,1,1,17510.39,,45263.81
102,2787,2024-01-20,28139.47,1,1,1,,3507.7,28139.47
102,1516,2024-01-25,3507.7,2,3,3,28139.47,21400.03,31647.17
102,2224,2026-05-26,21400.03,3,2,2,3507.7,,53047.2
103,2677,2023-07-24,4481.74,1,2,2,,13093.37,4481.74
103,1846,2024-11-18,13093.37,2,1,1,4481.74,,17575.11
104,583,2023-04-03,7734.73,1,2,2,,2157.72,7734.73
104,2072,2024-02-23,2157.72,2,3,3,7734.73,26738.34,9892.45
104,2243,2025-12-31,26738.34,3,1,1,2157.72,,36630.79
105,1228,2026-06-01,11994.16,1,1,1,,11473.41,11994.16
105,2091,2026-06-25,11473.41,2,2,2,11994.16,,23467.57
106,3355,2023-02-02,12645.93,1,1,1,,8932.24,12645.93
106,881,2024-03-04,8932.24,2,2,2,12645.93,8623.86,21578.17
106,812,2025-03-11,8623.86,3,3,3,8932.24,712.96,30202.03
106,3384,2025-09-05,712.96,4,4,4,8623.86,,30914.99
107,2360,2023-10-14,16663.62,1,1,1,,,16663.62
108,3076,2023-01-06,5246.98,1,1,1,,1351.04,5246.98
108,189,2023-11-19,1351.04,2,2,2,5246.98,,6598.02
109,1760,2023-10-14,5517.36,1,2,2,,7122.25,5517.36
109,2884,2025-03-01,7122.25,2,1,1,5517.36,,12639.61
110,2383,2025-06-20,4888.22,1,1,1,,2209.8,4888.22
110,1237,2025-12-17,2209.8,2,2,2,4888.22,,7098.02
111,500,2024-04-02,3171.94,1,2,2,,11069.72,3171.94
111,1435,2024-06-18,11069.72,2,1,1,3171.94,,14241.66
112,3394,2023-11-15,18726.98,1,1,1,,3569.28,18726.98
112,1503,2025-10-05,3569.28,2,3,3,18726.98,11468.61,22296.26
112,2156,2026-05-24,11468.61,3,2,2,3569.28,,33764.87
113,2398,2022-12-07,19570.66,1,1,1,,2338.86,19570.66
113,1622,2023-02-06,2338.86,2,3,3,19570.66,2804.92,21909.52
113,1379,2026-03-26,2804.92,3,2,2,2338.86,,24714.44
114,1409,2023-07-04,9638.69,1,1,1,,3342.5,9638.69
114,1045,2025-03-07,3342.5,2,2,2,9638.69,,12981.19
115,2833,2023-11-26,5980.78,1,2,2,,14543.04,5980.78
115,541,2026-04-10,14543.04,2,1,1,5980.78,,20523.82
116,2306,2023-07-08,21855.4,1,1,1,,12330.07,21855.4
116,818,2025-05-30,12330.07,2,2,2,21855.4,1237.88,34185.47
116,3395,2026-04-18,1237.88,3,3,3,12330.07,,35423.35
117,1735,2023-05-24,1967.55,1,4,4,,1719.03,1967.55
117,2131,2024-05-21,1719.03,2,5,5,1967.55,24.45,3686.58
117,935,2024-09-13,24.45,3,6,6,1719.03,27835.44,3711.03
117,2344,2025-09-28,27835.44,4,1,1,24.45,2600.04,31546.47
117,2751,2025-11-12,2600.04,5,3,3,27835.44,4600.04,34146.51
117,59,2026-03-01,4600.04,6,2,2,2600.04,,38746.55
118,3101,2023-02-11,5422.13,1,2,2,,14288.82,5422.13
118,3282,2024-11-25,14288.82,2,1,1,5422.13,,19710.95
119,1849,2024-01-09,21765.62,1,1,1,,12432.35,21765.62
119,3170,2024-01-22,12432.35,2,3,3,21765.62,18516.82,34197.97
119,3026,2024-05-30,18516.82,3,2,2,12432.35,2598.98,52714.79
119,1537,2025-02-23,2598.98,4,5,5,18516.82,4904.08,55313.77
119,3315,2025-11-16,4904.08,5,4,4,2598.98,,60217.85
120,1001,2023-04-08,13666.47,1,3,3,,19103.07,13666.47
120,2082,2023-06-29,19103.07,2,2,2,13666.47,19612.69,32769.54
120,2512,2024-09-23,19612.69,3,1,1,19103.07,6285.96,52382.23
120,2983,2026-04-01,6285.96,4,4,4,19612.69,,58668.19
121,3116,2023-11-23,6291.32,1,1,1,,,6291.32
122,838,2023-05-24,12195.1,1,1,1,,2055.94,12195.1
122,186,2026-05-24,2055.94,2,2,2,12195.1,,14251.04
123,208,2023-01-03,17432.9,1,2,2,,18410.0,17432.9
123,2949,2023-02-01,18410.0,2,1,1,17432.9,8219.03,35842.9
123,2553,2024-04-24,8219.03,3,3,3,18410.0,,44061.93
124,1095,2025-11-26,9237.78,1,2,2,,12544.76,9237.78
124,3361,2026-02-15,12544.76,2,1,1,9237.78,,21782.54
125,2124,2026-06-02,5799.9,1,2,2,,15007.41,5799.9
125,1216,2026-07-08,15007.41,2,1,1,5799.9,,20807.31
126,3402,2022-12-28,25441.32,1,1,1,,8736.44,25441.32
126,2778,2023-03-21,8736.44,2,3,3,25441.32,13165.25,34177.76
126,507,2023-04-02,13165.25,3,2,2,8736.44,,47343.01
127,2925,2023-01-10,12933.71,1,1,1,,6105.0,12933.71
127,976,2024-12-11,6105.0,2,2,2,12933.71,,19038.71
128,1292,2024-01-23,11642.02,1,4,4,,17485.19,11642.02
128,1558,2024-09-01,17485.19,2,2,2,11642.02,17602.25,29127.21
128,79,2024-09-11,17602.25,3,1,1,17485.19,2694.55,46729.46
128,2197,2025-01-24,2694.55,4,5,5,17602.25,14545.56,49424.01
128,1274,2025-02-12,14545.56,5,3,3,2694.55,,63969.57
129,1331,2022-11-13,11778.26,1,2,2,,6112.47,11778.26
129,3238,2023-06-19,6112.47,2,3,3,11778.26,14696.88,17890.73
129,2724,2026-03-15,14696.88,3,1,1,6112.47,,32587.61
130,303,2023-11-03,2050.65,1,3,3,,23566.52,2050.65
130,1704,2024-02-07,23566.52,2,1,1,2050.65,8277.16,25617.17
130,751,2025-12-29,8277.16,3,2,2,23566.52,,33894.33
131,675,2023-01-26,9915.96,1,3,3,,12056.78,9915.96
131,1527,2024-01-06,12056.78,2,2,2,9915.96,17124.0,21972.74
131,674,2024-10-26,17124.0,3,1,1,12056.78,,39096.74
132,1633,2024-11-14,22927.48,1,1,1,,300.06,22927.48
132,998,2025-05-08,300.06,2,4,4,22927.48,17589.64,23227.54
132,80,2026-07-22,17589.64,3,2,2,300.06,6355.65,40817.18
132,850,2026-08-10,6355.65,4,3,3,17589.64,,47172.83
133,1807,2025-05-20,22773.46,1,1,1,,,22773.46
134,682,2023-08-26,6596.25,1,2,2,,10146.11,6596.25
134,173,2023-09-08,10146.11,2,1,1,6596.25,5339.6,16742.36
134,3277,2024-10-01,5339.6,3,3,3,10146.11,,22081.96
135,2257,2024-02-17,14584.65,1,3,3,,25776.0,14584.65
135,644,2024-09-09,25776.0,2,1,1,14584.65,15106.35,40360.65
135,3062,2026-02-19,15106.35,3,2,2,25776.0,7261.3,55467.0
135,3401,2026-05-16,7261.3,4,4,4,15106.35,,62728.3
136,3185,2025-02-15,9495.36,1,1,1,,,9495.36
137,2585,2023-12-16,10595.22,1,2,2,,14989.38,10595.22
137,2591,2025-06-10,14989.38,2,1,1,10595.22,,25584.6
138,1975,2024-01-16,16697.65,1,2,2,,17239.0,16697.65
138,1341,2026-01-19,17239.0,2,1,1,16697.65,,33936.65
139,96,2022-11-08,6002.6,1,2,2,,14014.01,6002.6
139,874,2024-02-20,14014.01,2,1,1,6002.6,4422.15,20016.61
139,2944,2024-05-29,4422.15,3,3,3,14014.01,,24438.76
143,190,2023-07-20,16233.72,1,2,2,,20575.69,16233.72
143,2447,2024-07-21,20575.69,2,1,1,16233.72,,36809.41
144,1070,2023-05-08,11161.28,1,1,1,,9244.88,11161.28
